contig_1	CONCOCT.39
contig_100	CONCOCT.18
contig_1000	CONCOCT.18
contig_10002	CONCOCT.8
contig_10004	CONCOCT.17
contig_10005	CONCOCT.10
contig_10007	CONCOCT.18
contig_10008	CONCOCT.7
contig_10009	CONCOCT.64
contig_1001	CONCOCT.18
contig_10010	CONCOCT.82
contig_10011	CONCOCT.44
contig_10012	CONCOCT.51
contig_10013	CONCOCT.77
contig_10014	CONCOCT.77
contig_10015	CONCOCT.48
contig_10016	CONCOCT.64
contig_10017	CONCOCT.50
contig_10018	CONCOCT.58
contig_10019	CONCOCT.18
contig_10020	CONCOCT.2
contig_10022	CONCOCT.23
contig_10023	CONCOCT.2
contig_10024	CONCOCT.41
contig_10027	CONCOCT.50
contig_10028	CONCOCT.27
contig_1003	CONCOCT.76
contig_10030	CONCOCT.49
contig_10031	CONCOCT.82
contig_10035	CONCOCT.34
contig_10036	CONCOCT.46
contig_10037	CONCOCT.4
contig_10038	CONCOCT.76
contig_10039	CONCOCT.50
contig_1004	CONCOCT.77
contig_10040	CONCOCT.79
contig_10041	CONCOCT.10
contig_10042	CONCOCT.70
contig_10043	CONCOCT.30
contig_10044	CONCOCT.30
contig_10045	CONCOCT.9
contig_10046	CONCOCT.18
contig_10047	CONCOCT.48
contig_10048	CONCOCT.34
contig_10049	CONCOCT.5
contig_10051	CONCOCT.8
contig_10052	CONCOCT.3
contig_10053	CONCOCT.19
contig_10054	CONCOCT.49
contig_10055	CONCOCT.64
contig_10056	CONCOCT.28
contig_10057	CONCOCT.50
contig_10058	CONCOCT.49
contig_1006	CONCOCT.28
contig_10066	CONCOCT.41
contig_10067	CONCOCT.9
contig_10068	CONCOCT.12
contig_10069	CONCOCT.77
contig_1007	CONCOCT.28
contig_10070	CONCOCT.62
contig_10071	CONCOCT.3
contig_10072	CONCOCT.18
contig_10073	CONCOCT.48
contig_10074	CONCOCT.30
contig_10075	CONCOCT.50
contig_10076	CONCOCT.4
contig_10077	CONCOCT.6
contig_10078	CONCOCT.58
contig_10079	CONCOCT.37
contig_1008	CONCOCT.42
contig_10080	CONCOCT.41
contig_10081	CONCOCT.37
contig_10082	CONCOCT.62
contig_10083	CONCOCT.28
contig_10084	CONCOCT.25
contig_10086	CONCOCT.3
contig_10087	CONCOCT.18
contig_10088	CONCOCT.4
contig_10089	CONCOCT.48
contig_1009	CONCOCT.33
contig_10090	CONCOCT.49
contig_10091	CONCOCT.48
contig_10092	CONCOCT.64
contig_10093	CONCOCT.37
contig_10094	CONCOCT.30
contig_10095	CONCOCT.29
contig_10096	CONCOCT.64
contig_10097	CONCOCT.3
contig_10099	CONCOCT.54
contig_101	CONCOCT.18
contig_1010	CONCOCT.77
contig_10100	CONCOCT.9
contig_10101	CONCOCT.24
contig_10102	CONCOCT.37
contig_10103	CONCOCT.8
contig_10104	CONCOCT.41
contig_10105	CONCOCT.18
contig_10106	CONCOCT.44
