contig_id,cluster_id
contig_1.concoct_part_0,1
contig_100.concoct_part_0,11
contig_100.concoct_part_1,11
contig_101.concoct_part_0,5
contig_102.concoct_part_0,11
contig_104.concoct_part_0,11
contig_104.concoct_part_1,11
contig_105.concoct_part_0,13
contig_106.concoct_part_0,11
contig_106.concoct_part_1,11
contig_106.concoct_part_2,11
contig_106.concoct_part_3,11
contig_106.concoct_part_4,11
contig_106.concoct_part_5,11
contig_106.concoct_part_6,11
contig_106.concoct_part_7,11
contig_108.concoct_part_0,11
contig_108.concoct_part_1,11
contig_110.concoct_part_0,11
contig_110.concoct_part_1,11
contig_110.concoct_part_2,11
contig_110.concoct_part_3,11
contig_110.concoct_part_4,11
contig_110.concoct_part_5,11
contig_111.concoct_part_0,8
contig_112.concoct_part_0,2
contig_112.concoct_part_1,2
contig_113.concoct_part_0,5
contig_113.concoct_part_1,11
contig_113.concoct_part_2,11
contig_113.concoct_part_3,11
contig_113.concoct_part_4,11
contig_114.concoct_part_0,13
contig_115.concoct_part_0,11
contig_117.concoct_part_0,5
contig_118.concoct_part_0,11
contig_118.concoct_part_1,11
contig_118.concoct_part_2,11
contig_118.concoct_part_3,11
contig_118.concoct_part_4,11
contig_119.concoct_part_0,13
contig_120.concoct_part_0,2
contig_121.concoct_part_0,11
contig_121.concoct_part_1,11
contig_121.concoct_part_2,11
contig_122.concoct_part_0,13
contig_122.concoct_part_1,13
contig_123.concoct_part_0,11
contig_124.concoct_part_0,11
contig_125.concoct_part_0,2
contig_125.concoct_part_1,2
contig_126.concoct_part_0,11
contig_126.concoct_part_1,11
contig_126.concoct_part_2,11
contig_126.concoct_part_3,11
contig_126.concoct_part_4,11
contig_126.concoct_part_5,11
contig_126.concoct_part_6,11
contig_127.concoct_part_0,2
contig_128.concoct_part_0,13
contig_129.concoct_part_0,11
contig_13.concoct_part_0,3
contig_13.concoct_part_1,11
contig_13.concoct_part_2,11
contig_13.concoct_part_3,11
contig_13.concoct_part_4,11
contig_13.concoct_part_5,11
contig_13.concoct_part_6,11
contig_13.concoct_part_7,11
contig_13.concoct_part_8,11
contig_13.concoct_part_9,11
contig_13.concoct_part_10,11
contig_130.concoct_part_0,11
contig_131.concoct_part_0,14
contig_132.concoct_part_0,11
contig_132.concoct_part_1,11
contig_133.concoct_part_0,0
contig_134.concoct_part_0,11
contig_135.concoct_part_0,11
contig_136.concoct_part_0,11
contig_136.concoct_part_1,11
contig_136.concoct_part_2,11
contig_136.concoct_part_3,5
contig_137.concoct_part_0,2
contig_138.concoct_part_0,12
contig_139.concoct_part_0,1
contig_14.concoct_part_0,11
contig_14.concoct_part_1,11
contig_14.concoct_part_2,11
contig_14.concoct_part_3,11
contig_14.concoct_part_4,11
contig_14.concoct_part_5,11
contig_14.concoct_part_6,11
contig_14.concoct_part_7,11
contig_14.concoct_part_8,11
contig_140.concoct_part_0,5
contig_140.concoct_part_1,0
contig_140.concoct_part_2,11
contig_141.concoct_part_0,11
contig_142.concoct_part_0,5
contig_143.concoct_part_0,11
contig_143.concoct_part_1,11
contig_143.concoct_part_2,11
contig_144.concoct_part_0,5
contig_145.concoct_part_0,7
contig_146.concoct_part_0,9
contig_147.concoct_part_0,8
contig_148.concoct_part_0,14
