contig_id,cluster_id
contig_1,1
contig_100,11
contig_101,5
contig_102,11
contig_104,11
contig_105,13
contig_106,11
contig_108,11
contig_110,11
contig_111,8
contig_112,2
contig_113,11
contig_114,13
contig_115,11
contig_117,5
contig_118,11
contig_119,13
contig_120,2
contig_121,11
contig_122,13
contig_123,11
contig_124,11
contig_125,2
contig_126,11
contig_127,2
contig_128,13
contig_129,11
contig_13,11
contig_130,11
contig_131,14
contig_132,11
contig_133,0
contig_134,11
contig_135,11
contig_136,11
contig_137,2
contig_138,12
contig_139,1
contig_14,11
contig_140,5
contig_141,11
contig_142,5
contig_143,11
contig_144,5
contig_145,7
contig_146,9
contig_147,8
contig_148,14
contig_149,8
contig_15,11
contig_150,2
contig_151,8
contig_152,9
contig_153,11
contig_154,1
contig_156,2
contig_158,9
contig_16,13
contig_160,2
contig_161,11
contig_162,0
contig_163,2
contig_164,11
contig_165,2
contig_166,2
contig_167,9
contig_168,1
contig_169,9
contig_17,1
contig_170,11
contig_171,0
contig_172,5
contig_173,12
contig_174,11
contig_175,11
contig_176,13
contig_177,2
contig_178,9
contig_179,13
contig_18,5
contig_180,10
contig_181,9
contig_183,11
contig_185,2
contig_186,7
contig_187,2
contig_188,0
contig_189,11
contig_190,11
contig_191,11
contig_192,11
contig_194,0
contig_195,1
contig_196,11
contig_197,2
contig_198,11
contig_2,1
contig_20,11
contig_201,11
contig_202,0
contig_203,11
contig_204,2
contig_205,14
contig_206,2
contig_207,2
contig_208,2
contig_21,11
contig_210,11
contig_211,1
contig_213,11
contig_214,11
contig_215,0
contig_216,11
contig_217,5
contig_218,1
contig_22,2
contig_221,11
contig_222,1
contig_223,14
contig_224,7
contig_225,2
contig_226,11
contig_227,7
contig_228,1
contig_229,1
contig_23,9
contig_230,11
contig_231,1
contig_232,11
contig_233,0
contig_237,11
contig_238,13
contig_239,8
contig_24,2
contig_240,5
contig_241,2
contig_242,2
contig_243,12
contig_244,11
contig_246,11
contig_247,9
contig_248,11
contig_25,5
contig_250,11
contig_251,1
contig_253,13
contig_254,12
contig_255,11
contig_256,2
contig_257,11
contig_258,11
contig_259,11
contig_26,0
contig_260,12
contig_261,2
contig_262,2
contig_263,11
contig_265,2
contig_266,11
contig_267,1
contig_268,9
contig_269,0
contig_270,14
contig_271,11
contig_272,11
contig_273,11
contig_274,11
contig_275,1
contig_276,1
contig_277,2
contig_278,5
contig_279,14
contig_28,2
contig_280,11
contig_281,9
contig_282,13
contig_283,1
contig_284,10
contig_285,11
contig_286,11
contig_287,11
contig_288,5
contig_289,11
contig_29,2
contig_290,2
contig_291,14
contig_293,11
contig_294,5
contig_295,9
contig_296,11
contig_297,11
contig_298,5
contig_299,1
contig_30,11
contig_301,9
contig_302,1
contig_303,11
contig_305,1
contig_306,10
contig_307,1
contig_308,2
contig_31,2
contig_310,11
contig_311,9
contig_312,10
contig_313,9
contig_314,14
contig_315,5
contig_316,11
contig_317,2
contig_318,14
contig_32,12
contig_320,11
contig_321,11
contig_322,11
contig_323,11
contig_324,13
contig_325,11
contig_326,2
contig_327,10
contig_328,8
contig_329,11
contig_33,2
contig_330,2
contig_331,11
contig_332,12
contig_333,11
contig_334,11
contig_335,11
contig_336,11
contig_337,11
contig_338,8
contig_339,1
contig_34,5
contig_340,8
contig_341,5
contig_342,1
contig_343,2
contig_344,11
contig_345,0
contig_346,2
contig_347,8
contig_348,5
contig_349,5
contig_35,0
contig_350,8
contig_351,2
contig_352,5
contig_353,5
contig_354,1
contig_355,11
contig_358,11
contig_359,7
contig_36,8
contig_360,13
contig_361,8
contig_362,2
contig_363,2
contig_364,1
contig_366,2
contig_367,11
contig_368,1
contig_369,12
contig_37,11
contig_370,11
contig_372,11
contig_373,13
contig_374,11
contig_375,11
contig_377,13
contig_378,12
contig_379,11
contig_38,2
contig_381,9
contig_383,2
contig_386,13
contig_387,1
contig_388,2
contig_389,11
contig_39,11
contig_390,2
contig_391,2
contig_392,1
contig_393,1
contig_394,2
contig_395,1
contig_396,1
contig_397,9
contig_398,9
contig_399,11
contig_40,1
