contig	cov_mean_sample_mapped_sorted
contig_1.concoct_part_0	2.930
contig_100.concoct_part_0	5.247
contig_100.concoct_part_1	3.667
contig_101.concoct_part_0	2.901
contig_102.concoct_part_0	2.673
contig_104.concoct_part_0	6.643
contig_104.concoct_part_1	5.946
contig_105.concoct_part_0	2.657
contig_106.concoct_part_0	7.188
contig_106.concoct_part_1	6.402
contig_106.concoct_part_2	8.227
contig_106.concoct_part_3	5.881
contig_106.concoct_part_4	4.268
contig_106.concoct_part_5	9.211
contig_106.concoct_part_6	12.222
contig_106.concoct_part_7	5.509
contig_108.concoct_part_0	6.164
contig_108.concoct_part_1	7.049
contig_110.concoct_part_0	4.912
contig_110.concoct_part_1	4.452
contig_110.concoct_part_2	6.082
contig_110.concoct_part_3	6.783
contig_110.concoct_part_4	4.151
contig_110.concoct_part_5	6.804
contig_111.concoct_part_0	4.172
contig_112.concoct_part_0	3.547
contig_112.concoct_part_1	5.316
contig_113.concoct_part_0	3.609
contig_113.concoct_part_1	7.090
contig_113.concoct_part_2	5.267
contig_113.concoct_part_3	5.176
contig_113.concoct_part_4	5.446
contig_114.concoct_part_0	3.036
contig_115.concoct_part_0	8.034
contig_117.concoct_part_0	4.253
contig_118.concoct_part_0	5.934
contig_118.concoct_part_1	7.626
contig_118.concoct_part_2	10.442
contig_118.concoct_part_3	7.582
contig_118.concoct_part_4	5.311
contig_119.concoct_part_0	3.158
contig_120.concoct_part_0	4.336
contig_121.concoct_part_0	2.112
contig_121.concoct_part_1	2.913
contig_121.concoct_part_2	3.465
contig_122.concoct_part_0	2.803
contig_122.concoct_part_1	3.995
contig_123.concoct_part_0	2.352
contig_124.concoct_part_0	3.577
contig_125.concoct_part_0	4.348
contig_125.concoct_part_1	3.418
contig_126.concoct_part_0	7.178
contig_126.concoct_part_1	10.038
contig_126.concoct_part_2	9.564
contig_126.concoct_part_3	9.906
contig_126.concoct_part_4	10.627
contig_126.concoct_part_5	5.812
contig_126.concoct_part_6	5.521
contig_127.concoct_part_0	3.650
contig_128.concoct_part_0	2.667
contig_129.concoct_part_0	5.214
contig_13.concoct_part_0	12849.929
contig_13.concoct_part_1	15.319
contig_13.concoct_part_2	9.617
contig_13.concoct_part_3	8.102
contig_13.concoct_part_4	13.684
contig_13.concoct_part_5	12.727
contig_13.concoct_part_6	7.302
contig_13.concoct_part_7	9.103
contig_13.concoct_part_8	6.532
contig_13.concoct_part_9	5.027
contig_13.concoct_part_10	4.758
contig_130.concoct_part_0	4.761
contig_131.concoct_part_0	3.862
contig_132.concoct_part_0	4.258
contig_132.concoct_part_1	3.338
contig_133.concoct_part_0	2.742
contig_134.concoct_part_0	5.246
contig_135.concoct_part_0	3.856
contig_136.concoct_part_0	5.839
contig_136.concoct_part_1	4.949
contig_136.concoct_part_2	8.291
contig_136.concoct_part_3	3.288
contig_137.concoct_part_0	4.216
contig_138.concoct_part_0	2.686
contig_139.concoct_part_0	4.465
contig_14.concoct_part_0	5.196
contig_14.concoct_part_1	3.614
contig_14.concoct_part_2	1.394
contig_14.concoct_part_3	3.944
contig_14.concoct_part_4	5.491
contig_14.concoct_part_5	5.678
contig_14.concoct_part_6	7.930
contig_14.concoct_part_7	6.877
contig_14.concoct_part_8	5.113
contig_140.concoct_part_0	2.153
contig_140.concoct_part_1	2.989
contig_140.concoct_part_2	3.680
contig_141.concoct_part_0	2.942
contig_142.concoct_part_0	2.195
contig_143.concoct_part_0	6.583
contig_143.concoct_part_1	6.245
contig_143.concoct_part_2	1.970
contig_144.concoct_part_0	4.196
contig_145.concoct_part_0	2.483
contig_146.concoct_part_0	2.450
contig_147.concoct_part_0	4.976
contig_148.concoct_part_0	3.091
