Terpene	Others	RiPPs	NRPS	PKSother	PKSI	genome
6	3	1	0	0	0	CONCOCT_CONCOCT.11
1	1	1	1	0	0	CONCOCT_CONCOCT.14_sub
0	2	0	0	0	0	CONCOCT_CONCOCT.35
1	0	1	0	1	0	CONCOCT_CONCOCT.39
1	0	0	1	0	0	CONCOCT_CONCOCT.43_sub
1	5	2	0	1	0	CONCOCT_CONCOCT.46
0	1	0	1	0	0	CONCOCT_CONCOCT.47
2	2	3	0	0	0	CONCOCT_CONCOCT.48
0	0	1	0	1	0	CONCOCT_CONCOCT.66_sub
0	3	7	1	3	1	CONCOCT_CONCOCT.81_sub
0	1	4	2	1	0	CONCOCT_CONCOCT.86_sub
1	0	0	0	0	0	GraphMB_1054
1	2	2	0	0	0	GraphMB_152
1	1	2	2	1	1	GraphMB_2022
0	3	3	0	0	0	GraphMB_204
0	0	0	1	0	0	GraphMB_235
2	2	1	0	0	0	GraphMB_254_sub
2	1	1	0	0	0	GraphMB_286
0	0	3	0	0	0	GraphMB_290
1	0	2	0	0	0	GraphMB_321_sub
3	0	0	1	0	0	GraphMB_332
0	0	1	0	0	0	GraphMB_336_sub
0	1	2	0	2	0	GraphMB_370
0	0	1	1	0	0	GraphMB_377
0	1	0	0	0	0	GraphMB_426
2	1	2	0	0	0	GraphMB_437_sub
0	2	1	0	1	0	GraphMB_439_sub
1	2	1	0	0	0	GraphMB_43_sub
0	1	6	1	0	0	GraphMB_446_sub
0	0	1	0	0	0	GraphMB_454_sub
0	1	4	0	0	0	GraphMB_474_sub
2	0	1	0	0	0	GraphMB_545
2	0	0	0	1	0	GraphMB_571
0	2	4	1	0	0	GraphMB_616_sub
0	0	1	0	0	0	GraphMB_895_sub
0	0	0	0	1	0	GraphMB_915_sub
0	1	0	0	0	0	MaxBin2_bins.019_sub
0	0	1	0	0	0	MaxBin2_bins.028_sub
0	0	0	1	0	0	MaxBin2_bins.047_sub
0	0	1	1	1	0	MaxBin2_bins.054_sub
0	1	1	0	0	0	MaxBin2_bins.089_sub
0	1	0	0	0	0	MaxBin2_bins.092_sub
0	0	1	0	1	0	MaxBin2_bins.110_sub
1	1	2	0	0	0	MaxBin2_bins.117_sub
0	2	4	0	0	0	MaxBin2_bins.122_sub
0	1	2	0	0	2	MetaBAT2_bins.105_sub
2	2	0	0	1	0	MetaBAT2_bins.110
0	1	1	0	0	0	MetaBAT2_bins.111
0	1	2	0	0	0	MetaBAT2_bins.113_sub
0	2	1	0	0	0	MetaBAT2_bins.116
0	0	0	0	1	0	MetaBAT2_bins.129
1	0	1	0	1	0	MetaBAT2_bins.138
1	2	1	0	0	0	MetaBAT2_bins.141_sub
1	0	1	0	0	0	MetaBAT2_bins.142
2	3	2	1	0	0	MetaBAT2_bins.160
0	1	2	0	0	0	MetaBAT2_bins.173
2	0	1	1	1	2	MetaBAT2_bins.174
0	3	2	0	1	0	MetaBAT2_bins.193
0	0	4	0	2	0	MetaBAT2_bins.199
0	1	2	1	0	0	MetaBAT2_bins.20
0	1	0	0	0	0	MetaBAT2_bins.200_sub
0	2	1	0	0	0	MetaBAT2_bins.201_sub
0	0	3	0	2	0	MetaBAT2_bins.206
0	2	3	0	2	1	MetaBAT2_bins.21
1	0	1	0	2	0	MetaBAT2_bins.22
2	1	1	0	0	0	MetaBAT2_bins.222
0	0	4	1	1	1	MetaBAT2_bins.230_sub
2	0	0	0	1	0	MetaBAT2_bins.231
0	0	2	0	0	0	MetaBAT2_bins.232_sub
2	0	3	0	0	0	MetaBAT2_bins.246
0	0	1	0	1	1	MetaBAT2_bins.248
0	1	1	1	0	0	MetaBAT2_bins.260
1	1	1	0	0	0	MetaBAT2_bins.262
0	1	0	0	0	0	MetaBAT2_bins.33
0	1	1	0	0	0	MetaBAT2_bins.53
2	0	1	0	2	0	MetaBAT2_bins.57
0	2	0	1	0	0	MetaBAT2_bins.63_sub
1	2	6	1	0	0	MetaBAT2_bins.67_sub
1	0	0	0	0	0	MetaBAT2_bins.69_sub
0	0	1	2	0	0	MetaBAT2_bins.74
0	0	1	0	0	0	MetaBAT2_bins.85_sub
0	4	1	1	0	0	MetaBAT2_bins.96_sub
0	2	6	0	2	0	MetaBAT2_bins.99_sub
