Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
151_sub	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	3.45	0.00	0.00
2078	o__Actinomycetales (UID1696)	455	315	190	7	305	3	0	0	0	97.29	1.58	0.00
267	k__Bacteria (UID3187)	2258	188	117	50	130	8	0	0	0	80.19	6.41	0.00
377	k__Bacteria (UID203)	5449	104	58	15	54	32	2	1	0	80.56	31.22	36.36
446	c__Gammaproteobacteria (UID4267)	119	544	284	106	428	9	0	1	0	80.87	3.30	6.67
487_sub	c__Deltaproteobacteria (UID3216)	83	247	155	121	122	1	3	0	0	51.97	4.52	70.00
778	p__Proteobacteria (UID3880)	1495	261	164	141	105	15	0	0	0	43.11	7.66	26.67
797	c__Deltaproteobacteria (UID3216)	83	247	155	36	153	56	2	0	0	79.84	23.98	17.74
835	c__Deltaproteobacteria (UID3216)	83	247	155	40	193	13	1	0	0	80.71	6.45	43.75
CONCOCT.10	root (UID1)	5656	56	24	55	1	0	0	0	0	1.04	0.00	0.00
CONCOCT.29_sub	c__Deltaproteobacteria (UID3216)	83	247	155	135	87	25	0	0	0	37.09	10.12	16.00
CONCOCT.44	c__Gammaproteobacteria (UID4274)	112	581	290	107	277	146	34	12	5	80.80	50.00	21.82
bins.10	o__Actinomycetales (UID1815)	120	572	265	237	325	10	0	0	0	56.22	1.73	50.00
bins.14	c__Gammaproteobacteria (UID4274)	112	581	290	31	533	17	0	0	0	93.05	3.56	17.65
bins.19_sub	c__Gammaproteobacteria (UID4202)	67	481	276	129	248	93	10	1	0	69.36	24.31	3.10
bins.25_sub	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
bins.28	c__Deltaproteobacteria (UID3216)	83	247	155	64	166	16	1	0	0	73.85	9.68	68.42
bins.30	c__Gammaproteobacteria (UID4267)	119	544	284	225	307	11	1	0	0	51.34	3.26	21.43
bins.31	k__Bacteria (UID203)	5449	104	58	87	17	0	0	0	0	19.97	0.00	0.00
bins.36	c__Gammaproteobacteria (UID4274)	112	581	290	131	435	13	1	1	0	79.65	3.71	22.73
bins.43	c__Deltaproteobacteria (UID3217)	62	280	168	63	210	7	0	0	0	70.50	2.55	14.29
bins.53	c__Deltaproteobacteria (UID3216)	83	247	155	22	218	7	0	0	0	88.71	2.58	100.00
bins.55	c__Deltaproteobacteria (UID3216)	83	247	155	54	142	46	5	0	0	78.91	26.18	34.43
bins.62	c__Gammaproteobacteria (UID4202)	67	481	276	73	375	32	1	0	0	86.03	9.87	0.00
bins.63	c__Deltaproteobacteria (UID3216)	83	247	155	84	146	17	0	0	0	57.82	4.03	11.76
bins.71_sub	c__Deltaproteobacteria (UID3217)	62	280	168	175	98	7	0	0	0	30.96	3.37	14.29
bins.77	c__Gammaproteobacteria (UID4267)	119	544	284	135	394	15	0	0	0	70.93	1.60	60.00
bins.85	p__Actinobacteria (UID1454)	732	199	116	15	182	2	0	0	0	93.36	0.95	0.00
