PKSother	RiPPs	Others	PKSI	Terpene	NRPS	PKS-NRP_Hybrids	genome
2	3	1	1	0	0	0	CONCOCT_CONCOCT.0_sub
0	2	3	0	1	0	0	CONCOCT_CONCOCT.19
0	1	2	0	2	0	0	CONCOCT_CONCOCT.26_sub
0	2	2	0	2	0	0	CONCOCT_CONCOCT.33
1	0	0	0	0	0	0	CONCOCT_CONCOCT.4_sub
0	1	1	0	0	0	0	CONCOCT_CONCOCT.53
0	1	1	0	0	0	0	CONCOCT_CONCOCT.54_sub
0	1	0	0	0	0	0	CONCOCT_CONCOCT.56_sub
0	3	0	0	0	0	0	CONCOCT_CONCOCT.59
0	0	1	0	0	0	0	CONCOCT_CONCOCT.73
2	1	1	0	0	0	0	GraphMB_1012
0	0	2	0	0	0	0	GraphMB_15505
0	1	1	0	0	0	0	GraphMB_3019_sub
0	0	2	0	1	0	0	GraphMB_3522
0	0	0	0	1	0	0	GraphMB_3539
0	0	0	0	2	0	0	GraphMB_3658
1	2	1	0	0	1	0	GraphMB_3682
0	0	0	0	0	1	0	GraphMB_3702
0	1	0	0	4	1	0	GraphMB_3747
0	1	2	1	0	0	0	GraphMB_3912
0	0	1	0	0	0	0	GraphMB_4236_sub
1	0	0	0	0	0	0	GraphMB_4266
0	1	1	0	0	0	0	GraphMB_4368
1	1	0	0	1	0	0	GraphMB_5147
0	0	1	0	0	0	0	GraphMB_5515_sub
0	1	0	0	0	0	0	MaxBin2_bins.016
0	2	3	0	0	0	0	MaxBin2_bins.018_sub
0	2	0	0	0	0	0	MaxBin2_bins.022_sub
0	1	0	0	0	1	0	MaxBin2_bins.059_sub
0	1	2	0	0	0	0	MaxBin2_bins.080_sub
1	2	2	0	1	1	0	MaxBin2_bins.083_sub
0	1	2	0	0	0	0	MaxBin2_bins.089_sub
0	0	0	0	1	0	0	MetaBAT2_bins.100
1	1	0	0	0	0	0	MetaBAT2_bins.102
1	1	1	0	1	1	0	MetaBAT2_bins.103
0	2	1	0	1	0	0	MetaBAT2_bins.109
0	5	1	0	0	0	0	MetaBAT2_bins.110_sub
0	1	0	0	0	0	0	MetaBAT2_bins.113_sub
0	0	1	0	0	0	0	MetaBAT2_bins.115_sub
1	0	0	0	2	0	0	MetaBAT2_bins.116
0	1	0	0	0	2	0	MetaBAT2_bins.125
0	1	0	0	3	0	0	MetaBAT2_bins.131
1	2	1	0	0	0	0	MetaBAT2_bins.135
1	1	3	1	0	2	0	MetaBAT2_bins.142
2	3	1	1	0	0	0	MetaBAT2_bins.145
0	0	3	0	1	0	0	MetaBAT2_bins.155_sub
2	3	2	1	0	2	0	MetaBAT2_bins.161
1	5	0	1	0	0	0	MetaBAT2_bins.167
0	1	0	0	0	1	0	MetaBAT2_bins.169
0	1	0	0	0	0	0	MetaBAT2_bins.179
0	3	3	0	0	0	0	MetaBAT2_bins.182
0	1	1	0	4	0	0	MetaBAT2_bins.185
0	1	0	0	0	0	0	MetaBAT2_bins.186
0	0	1	0	0	0	0	MetaBAT2_bins.19
0	0	1	0	0	1	0	MetaBAT2_bins.191
0	4	0	0	1	1	0	MetaBAT2_bins.199
1	2	0	0	0	0	0	MetaBAT2_bins.21
0	0	1	0	1	0	0	MetaBAT2_bins.214
0	4	0	0	2	0	0	MetaBAT2_bins.29
0	1	1	0	0	0	0	MetaBAT2_bins.30
0	4	2	0	0	0	0	MetaBAT2_bins.40
0	0	2	0	1	0	0	MetaBAT2_bins.46
0	0	1	0	0	0	0	MetaBAT2_bins.63_sub
0	3	2	0	2	1	0	MetaBAT2_bins.65_sub
0	1	1	2	2	1	1	MetaBAT2_bins.66
2	0	0	0	1	0	0	MetaBAT2_bins.72
1	3	0	0	0	0	0	MetaBAT2_bins.73
2	3	0	0	0	0	0	MetaBAT2_bins.74
0	2	2	0	0	0	0	MetaBAT2_bins.76
2	1	2	0	0	0	0	MetaBAT2_bins.78
0	1	1	0	1	0	0	MetaBAT2_bins.84
0	1	2	0	0	0	0	MetaBAT2_bins.98
