user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
1018_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__0-14-0-80-60-11;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__0-14-0-80-60-11;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	43.22	11	0.81152	N/A
10295	d__Bacteria;p__Desulfobacterota_F;c__WTBG01;o__WTBG01;f__WTBG01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_013139225.1	95.0	d__Bacteria;p__Desulfobacterota_F;c__WTBG01;o__WTBG01;f__WTBG01;g__WTBG01;s__WTBG01 sp013139225	78.47	0.4	d__Bacteria;p__Desulfobacterota_F;c__WTBG01;o__WTBG01;f__WTBG01;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	19.27	11	0.8322	Genome domain questionable ( 20.0% Bacterial, 11.3% Archaeal)
15665_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__BMS3Bbin11;g__BMS3Bbin11;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__BMS3Bbin11;g__BMS3Bbin11;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	16.5	11	0.89738	N/A
3104	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BM003;f__BM003;g__BM003;s__	N/A	N/A	N/A	N/A	N/A	GCA_002868855.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BM003;f__BM003;g__BM003;s__BM003 sp002868855	83.92	0.659	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BM003;f__BM003;g__BM003;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	84.37	11	0.96055	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
4254	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	58.13	11	0.84663	N/A
5607	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__	N/A	N/A	N/A	N/A	N/A	GCA_024641825.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__JAAXQD01 sp024641825	96.67	0.292	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012974475.1, s__JAAXQD01 sp012974475, 95.0, 90.84, 0.208; GCA_019314155.1, s__JAAXQD01 sp019314155, 95.0, 89.66, 0.208	20.1	11	0.99067	Genome domain questionable ( 20.8% Bacterial, 11.3% Archaeal)
6284	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	ANI	classification based on placement in class-level tree	GCA_013041745.1, s__GCA-2746365 sp013041745, 95.0, 79.74, 0.299; GCA_913065105.1, s__GCA-2746365 sp913065105, 95.0, 78.29, 0.278; GCA_015488295.1, s__GCA-2746365 sp015488295, 95.0, 78.04, 0.243; GCA_015222965.1, s__GCA-2746365 sp015222965, 95.0, 77.92, 0.248; GCA_024278435.1, s__GCA-2746365 sp024278435, 95.0, 77.84, 0.3; GCA_022340645.1, s__GCA-2746365 sp022340645, 95.0, 77.71, 0.212; GCA_015222915.1, s__GCA-2746365 sp015222915, 95.0, 77.69, 0.247; GCA_011321985.1, s__GCA-2746365 sp011321985, 95.0, 77.55, 0.203; GCA_002746365.1, s__GCA-2746365 sp002746365, 95.0, 77.24, 0.168; GCA_024277705.1, s__GCA-2746365 sp024277705, 95.0, 77.22, 0.135; GCA_013138755.1, s__GCA-2746365 sp013138755, 95.0, 77.04, 0.173; GCA_011051475.1, s__GCA-2746365 sp011051475, 95.0, 77.03, 0.178; GCA_022712755.1, s__GCA-2746365 sp022712755, 95.0, 76.98, 0.156; GCA_002401185.1, s__GCA-2746365 sp002401185, 95.0, 76.66, 0.108; GCA_016764035.1, s__GCA-2746365 sp016764035, 95.0, 76.65, 0.12	74.62	11	0.91262	N/A
6992	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__	N/A	N/A	N/A	N/A	N/A	GCA_024643255.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__Sva-07 sp024643255	82.14	0.613	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_019090765.1, s__Sva-07 sp019090765, 95.0, 78.19, 0.116; GCA_015767405.1, s__Sva-07 sp015767405, 95.0, 78.07, 0.254	29.77	11	0.95358	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
7061	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__	ANI	classification based on placement in class-level tree	GCA_002279935.1, s__Hyphomicrobium_C sp002279935, 95.0, 79.13, 0.405; GCA_019751875.1, s__Hyphomicrobium_C sp019751875, 95.0, 78.75, 0.356; GCA_002928735.1, s__Hyphomicrobium_C sp002928735, 95.0, 78.58, 0.385; GCA_022841965.1, s__Hyphomicrobium_C sp022841965, 95.0, 78.4, 0.31; GCA_022844105.1, s__Hyphomicrobium_C sp001464285, 95.0, 78.26, 0.3; GCA_017304275.1, s__Hyphomicrobium_C sp017304275, 95.0, 78.05, 0.175; GCF_000383415.1, s__Hyphomicrobium_C zavarzinii, 95.0, 77.94, 0.244; GCA_019137195.1, s__Hyphomicrobium_C sp019137195, 95.0, 77.9, 0.221; GCF_000503895.1, s__Hyphomicrobium_C nitrativorans, 95.0, 77.88, 0.195; GCA_019744875.1, s__Hyphomicrobium_C sp019744875, 95.0, 77.86, 0.244; GCF_900117455.1, s__Hyphomicrobium_C sp900117455, 95.0, 77.86, 0.231; GCA_934555825.1, s__Hyphomicrobium_C sp934555825, 95.0, 77.83, 0.12; GCA_902826555.1, s__Hyphomicrobium_C sp902826555, 95.0, 77.59, 0.197; GCA_020852195.1, s__Hyphomicrobium_C sp020852195, 95.0, 77.12, 0.215; GCA_021813195.1, s__Hyphomicrobium_C sp021813195, 95.0, 77.09, 0.155	38.33	11	0.96064	N/A
7169	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	78.49	11	0.9689	N/A
