user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
10138	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_019751875.1, s__Hyphomicrobium_C sp019751875, 95.0, 84.69, 0.583; GCA_002279935.1, s__Hyphomicrobium_C sp002279935, 95.0, 82.94, 0.667; GCA_019744875.1, s__Hyphomicrobium_C sp019744875, 95.0, 82.35, 0.542; GCA_022841965.1, s__Hyphomicrobium_C sp022841965, 95.0, 81.94, 0.625; GCA_022844105.1, s__Hyphomicrobium_C sp001464285, 95.0, 81.84, 0.583; GCF_000503895.1, s__Hyphomicrobium_C nitrativorans, 95.0, 81.76, 0.417; GCF_900117455.1, s__Hyphomicrobium_C sp900117455, 95.0, 81.68, 0.708; GCA_002928735.1, s__Hyphomicrobium_C sp002928735, 95.0, 81.28, 0.583; GCA_019137195.1, s__Hyphomicrobium_C sp019137195, 95.0, 81.14, 0.583; GCA_934555825.1, s__Hyphomicrobium_C sp934555825, 95.0, 81.0, 0.583; GCA_902826555.1, s__Hyphomicrobium_C sp902826555, 95.0, 80.9, 0.5; GCF_000383415.1, s__Hyphomicrobium_C zavarzinii, 95.0, 80.64, 0.625; GCA_017304275.1, s__Hyphomicrobium_C sp017304275, 95.0, 80.62, 0.417; GCA_021813195.1, s__Hyphomicrobium_C sp021813195, 95.0, 79.67, 0.333; GCA_020852195.1, s__Hyphomicrobium_C sp020852195, 95.0, 78.19, 0.5	15.15	11	0.95636	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome domain questionable ( 15.8% Bacterial, 9.4% Archaeal)
1078	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Jiangellales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Jiangellales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	65.38	11	0.70765	N/A
118_sub	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__	N/A	N/A	N/A	N/A	N/A	GCA_024643255.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__Sva-07 sp024643255	82.1	0.439	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Sva-07;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_015767405.1, s__Sva-07 sp015767405, 95.0, 78.16, 0.177; GCA_019090765.1, s__Sva-07 sp019090765, 95.0, 77.97, 0.129	27.75	11	0.95321	N/A
3573	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__JAFDCJ01;g__JAFDCJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_024277475.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__JAFDCJ01;g__JAFDCJ01;s__JAFDCJ01 sp024277475	86.19	0.3	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__JAFDCJ01;g__JAFDCJ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_945787595.1, s__JAFDCJ01 sp945787595, 95.0, 86.24, 0.34; GCA_019310665.1, s__JAFDCJ01 sp019310665, 95.0, 79.15, 0.24; GCA_902749685.1, s__JAFDCJ01 sp902749685, 95.0, 78.96, 0.28; GCA_019312835.1, s__JAFDCJ01 sp019312835, 95.0, 77.59, 0.18; GCA_020345785.1, s__JAFDCJ01 sp020345785, 95.0, 77.4, 0.14	16.31	11	0.96753	Genome domain questionable ( 18.3% Bacterial, 11.3% Archaeal)
661_sub	d__Bacteria;p__Desulfobacterota_F;c__WTBG01;o__WTBG01;f__WTBG01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_013139225.1	95.0	d__Bacteria;p__Desulfobacterota_F;c__WTBG01;o__WTBG01;f__WTBG01;g__WTBG01;s__WTBG01 sp013139225	76.79	0.116	d__Bacteria;p__Desulfobacterota_F;c__WTBG01;o__WTBG01;f__WTBG01;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	38.63	11	0.80543	Genome has more than 12.5% of markers with multiple hits
663	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	41.69	11	0.88887	Genome has more than 27.5% of markers with multiple hits
664_sub	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	27.69	11	0.88112	N/A
683_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	N/A	N/A	N/A	N/A	N/A	GCA_013041745.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__GCA-2746365 sp013041745	83.97	0.662	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_913065105.1, s__GCA-2746365 sp913065105, 95.0, 78.55, 0.24; GCA_015488295.1, s__GCA-2746365 sp015488295, 95.0, 78.25, 0.265; GCA_015222965.1, s__GCA-2746365 sp015222965, 95.0, 78.22, 0.292; GCA_011321985.1, s__GCA-2746365 sp011321985, 95.0, 78.03, 0.212; GCA_015222915.1, s__GCA-2746365 sp015222915, 95.0, 77.64, 0.277; GCA_022712755.1, s__GCA-2746365 sp022712755, 95.0, 77.63, 0.122; GCA_024278435.1, s__GCA-2746365 sp024278435, 95.0, 77.6, 0.224; GCA_022340645.1, s__GCA-2746365 sp022340645, 95.0, 77.55, 0.188; GCA_024277705.1, s__GCA-2746365 sp024277705, 95.0, 77.29, 0.16; GCA_013138755.1, s__GCA-2746365 sp013138755, 95.0, 77.15, 0.135; GCA_002746365.1, s__GCA-2746365 sp002746365, 95.0, 77.1, 0.152; GCA_011051475.1, s__GCA-2746365 sp011051475, 95.0, 77.04, 0.152; GCA_016764035.1, s__GCA-2746365 sp016764035, 95.0, 77.0, 0.09; GCA_002401185.1, s__GCA-2746365 sp002401185, 95.0, 76.16, 0.13	54.1	11	0.97216	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
708_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	73.9	11	0.96922	N/A
850	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	51.4	11	0.84045	N/A
