contigName	contigLen	totalAvgDepth	mapped_sorted_combined.bam	mapped_sorted_combined.bam-var
contig_1	7057	1.37484	1.37484	0.811534
contig_1000	8694	0.943235	0.943235	0.807352
contig_10000	19110	3.83049	3.83049	5.07866
contig_10001	5654	0.312863	0.312863	0.502495
contig_10002	85569	2.76511	2.76511	3.16131
contig_10003	5730	0	0	0
contig_10004	5662	2.08019	2.08019	4.71523
contig_10006	12910	3.84491	3.84491	12.0781
contig_10007	6144	1.74258	1.74258	1.4747
contig_10008	13923	3.96682	3.96682	7.45086
contig_10009	33307	1.33779	1.33779	4.47402
contig_1001	29322	1.25727	1.25727	1.98953
contig_10010	7428	3.108	3.108	3.55991
contig_10011	10774	0.323983	0.323983	0.426343
contig_10012	66600	3.10113	3.10113	3.17712
contig_10013	7026	0.3105	0.3105	0.360727
contig_10014	15352	0.501973	0.501973	0.549726
contig_10015	6612	0.153822	0.153822	0.130174
contig_10017	5981	0.544847	0.544847	0.41752
contig_10018	12402	0.593699	0.593699	0.770042
contig_10019	14262	0.671556	0.671556	0.994692
contig_1002	165574	3.60615	3.60615	4.54779
contig_10020	13814	1.54113	1.54113	1.43537
contig_10021	8969	0.697585	0.697585	0.793721
contig_10022	7439	0.207161	0.207161	0.194759
contig_10023	7074	0.938475	0.938475	0.774831
contig_10024	5972	1.39162	1.39162	0.943332
contig_10025	6220	1.43789	1.43789	2.70286
contig_10026	6195	1.38958	1.38958	0.890755
contig_10027	6230	1.87714	1.87714	0.171936
contig_10028	18837	1.46974	1.46974	1.74236
contig_1003	51966	6.82544	6.82544	42.9481
contig_10030	85366	2.02748	2.02748	3.545
contig_10031	16232	1.25544	1.25544	2.3363
contig_10032	18259	1.0888	1.0888	2.00595
contig_10034	5683	3.94108	3.94108	19.4487
contig_10035	9073	1.86563	1.86563	1.60581
contig_10036	14885	1.53308	1.53308	1.06219
contig_10038	256684	3.49811	3.49811	7.86142
contig_10039	30912	1.24878	1.24878	1.52882
contig_1004	42237	1.93789	1.93789	3.24493
contig_10040	23624	3.30706	3.30706	4.503
contig_10041	22965	0.555293	0.555293	1.10983
contig_10042	24821	2.06591	2.06591	1.23663
contig_10043	58632	2.89628	2.89628	4.75747
contig_10044	10654	0.956874	0.956874	0.772668
contig_10045	9923	0.918142	0.918142	0.790035
contig_10046	14142	2.53423	2.53423	4.06024
contig_10049	26503	14.5694	14.5694	62.0774
contig_1005	5466	1.58371	1.58371	0.975747
contig_10050	34741	16.1276	16.1276	86.7557
contig_10051	8549	1.41838	1.41838	1.49721
contig_10053	5275	0.47278	0.47278	0.440563
contig_10054	27402	1.79602	1.79602	1.62865
contig_10055	19892	0.796323	0.796323	1.62276
contig_10056	24732	1.27288	1.27288	1.63202
contig_10057	6144	0.902903	0.902903	0.582949
contig_10059	8984	0.69425	0.69425	0.846009
contig_1006	9646	5.67397	5.67397	3.00372
contig_10060	27757	2.71413	2.71413	3.7503
contig_10062	9475	2.37802	2.37802	12.956
contig_10063	11048	0.995596	0.995596	0.354194
contig_10064	9146	1.20609	1.20609	0.973816
contig_10066	31976	4.58876	4.58876	8.41794
contig_10067	22135	1.61956	1.61956	1.71515
contig_10068	16725	0.754088	0.754088	0.599504
contig_10069	40243	1.2139	1.2139	1.77589
contig_10070	11211	1.83428	1.83428	1.2303
contig_10071	12544	1.07415	1.07415	2.22327
contig_10072	9172	1.51186	1.51186	0.651838
contig_10073	59783	0.790066	0.790066	1.11436
contig_10074	6021	0.00851644	0.00851644	0.00844532
contig_10075	6211	0.891107	0.891107	1.02578
contig_10076	8114	1.20291	1.20291	0.644221
contig_10078	22912	1.52684	1.52684	1.95537
contig_10079	18612	2.82759	2.82759	4.6705
contig_1008	5986	1.40816	1.40816	1.1091
contig_10080	34790	1.55727	1.55727	4.79201
contig_10081	11225	3.36605	3.36605	4.2164
contig_10082	16262	3.29667	3.29667	6.63935
contig_10083	5655	0.925886	0.925886	1.25217
contig_10085	5585	0.275621	0.275621	0.621818
contig_10086	6965	4.62509	4.62509	51.6708
contig_10087	16731	0.711115	0.711115	1.48812
contig_10088	6995	1.79956	1.79956	0.721084
contig_10089	118903	1.94508	1.94508	2.88797
contig_1009	5501	1.3661	1.3661	0.690444
contig_10090	7134	0.266466	0.266466	0.453293
contig_10091	9432	1.98082	1.98082	0.752794
contig_10092	11100	1.3495	1.3495	0.644787
contig_10093	7984	0.951238	0.951238	0.427369
contig_10094	6287	2.21998	2.21998	0.75601
contig_10095	309877	2.24155	2.24155	4.93439
contig_10096	17952	0.846871	0.846871	1.4081
contig_10097	6046	0.0027137	0.0027137	0.00270691
contig_10099	7148	1.87153	1.87153	0.472473
contig_1010	22672	2.46927	2.46927	4.1619
contig_10101	6804	0.304028	0.304028	0.563074
contig_10102	7743	0.459502	0.459502	0.733322
contig_10103	7060	2.06093	2.06093	0.848079
contig_10104	7399	1.09574	1.09574	0.88522
contig_10105	149206	2.70623	2.70623	2.97485
contig_10106	21393	1.22101	1.22101	2.81684
contig_10107	7813	1.4142	1.4142	1.1025
contig_10109	108624	4.68068	4.68068	7.31541
contig_10110	7903	2.00645	2.00645	2.54147
contig_10111	8647	1.24409	1.24409	0.469833
contig_10112	6551	1.83878	1.83878	1.21432
contig_10113	17000	0.692404	0.692404	0.60274
contig_10114	6484	0	0	0
contig_10115	15155	0.878507	0.878507	0.367159
contig_10117	69001	2.80182	2.80182	7.81074
contig_10119	17494	3.24389	3.24389	7.62893
contig_1012	101818	1.86401	1.86401	3.72758
contig_10120	7616	0.656576	0.656576	0.624727
contig_10124	5210	0.311067	0.311067	0.214344
contig_10126	15470	3.99752	3.99752	9.1305
contig_10128	7078	0.647229	0.647229	1.15029
contig_10129	48791	1.0906	1.0906	1.02999
contig_1013	273565	3.17626	3.17626	4.83182
contig_10130	10032	0.807731	0.807731	1.18311
contig_10131	32207	3.02018	3.02018	1.60019
contig_10132	18473	1.60978	1.60978	0.96172
contig_10133	25751	2.32077	2.32077	8.64636
contig_10134	94723	4.12556	4.12556	4.38228
contig_10135	189608	2.93684	2.93684	5.49515
contig_10136	19519	1.85859	1.85859	2.06435
contig_10137	77239	3.50379	3.50379	3.57324
contig_10138	6679	1.31674	1.31674	1.63578
contig_10139	17001	0.675331	0.675331	1.29858
contig_1014	16993	1.78484	1.78484	2.93948
contig_10140	8429	0.241333	0.241333	0.183105
contig_10141	5154	0.00379696	0.00379696	0.00378414
contig_10142	13757	3.32564	3.32564	27.476
contig_10143	75265	1.16234	1.16234	1.77821
contig_10144	16306	3.68711	3.68711	5.79639
contig_10146	25250	0.364542	0.364542	0.495442
contig_10147	22483	0.487843	0.487843	0.62649
contig_1015	12521	2.36084	2.36084	1.89484
contig_10150	14138	2.18802	2.18802	2.60412
contig_10151	11320	1.98442	1.98442	4.44237
contig_10152	15044	1.95173	1.95173	1.44049
contig_10154	10699	0.792397	0.792397	1.0026
contig_10155	17118	2.59418	2.59418	3.68003
contig_10156	11097	0.494017	0.494017	0.521736
contig_10157	7722	1.19083	1.19083	0.549091
contig_10158	9430	1.91239	1.91239	2.27294
contig_10159	20917	2.08745	2.08745	2.09561
contig_1016	13389	0.876728	0.876728	0.323028
contig_10162	232820	1.98286	1.98286	75.7782
contig_10163	12104	0.85737	0.85737	0.859902
contig_10164	34697	1.72548	1.72548	2.8312
contig_10165	15430	1.47919	1.47919	1.79876
contig_10166	10017	1.65917	1.65917	0.978637
contig_10167	7803	1.05671	1.05671	0.409735
contig_10168	17808	2.35021	2.35021	3.34999
contig_10169	17445	0.589939	0.589939	1.0404
contig_1017	33007	2.51633	2.51633	2.59695
contig_10170	29665	3.26268	3.26268	4.95103
contig_10171	23421	1.43002	1.43002	1.80664
contig_10174	13610	1.20773	1.20773	0.956921
contig_10175	13310	0.748708	0.748708	0.539375
contig_10176	7705	0.783322	0.783322	0.674917
contig_10177	10426	2.43519	2.43519	2.3868
contig_10180	38549	2.08508	2.08508	3.56511
contig_10181	15348	0.668575	0.668575	1.8418
contig_10183	61021	1.66505	1.66505	1.62816
contig_10184	164696	6.17351	6.17351	11.5115
contig_10185	17572	4.30559	4.30559	5.13832
contig_10186	13203	0.492914	0.492914	0.53657
contig_10187	15034	1.29501	1.29501	1.24828
contig_10189	13022	1.8959	1.8959	1.79748
contig_1019	5673	1.4235	1.4235	0.648023
contig_10190	9070	2.58453	2.58453	2.04665
contig_10191	6456	0.415002	0.415002	0.440092
contig_10192	8385	0.484517	0.484517	0.686782
contig_10193	7208	0.556957	0.556957	0.667353
contig_10196	5488	0.828025	0.828025	0.737143
contig_10197	15398	0.407135	0.407135	0.894588
contig_10198	17827	0.529049	0.529049	0.53955
contig_10199	17781	0.914355	0.914355	0.774949
contig_1020	55855	2.46924	2.46924	5.60466
contig_10200	8886	0.702724	0.702724	0.987362
contig_10201	19402	0.440578	0.440578	0.690235
