Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
CONCOCT_CONCOCT.14_sub	o__Actinomycetales (UID1663)	488	310	185	69	145	81	15	0	0	73.76	39.33	3.17
CONCOCT_CONCOCT.27_sub	c__Gammaproteobacteria (UID4202)	67	481	276	61	404	14	2	0	0	86.25	3.75	10.00
CONCOCT_CONCOCT.37	o__Pseudomonadales (UID4488)	185	813	308	0	810	3	0	0	0	100.00	0.32	0.00
CONCOCT_CONCOCT.38	o__Actinomycetales (UID1663)	488	310	185	5	302	3	0	0	0	98.03	1.62	0.00
CONCOCT_CONCOCT.39	p__Actinobacteria (UID1454)	732	199	116	6	178	15	0	0	0	95.69	5.80	33.33
CONCOCT_CONCOCT.43	s__algicola (UID2846)	47	571	303	71	408	81	10	1	0	87.69	19.43	36.75
CONCOCT_CONCOCT.47	c__Alphaproteobacteria (UID3337)	468	388	250	112	266	10	0	0	0	69.33	3.60	60.00
CONCOCT_CONCOCT.57	c__Gammaproteobacteria (UID4274)	112	581	290	43	498	39	1	0	0	90.22	6.21	30.95
CONCOCT_CONCOCT.5_sub	k__Bacteria (UID203)	5449	104	58	20	48	20	11	3	2	81.53	74.37	4.40
CONCOCT_CONCOCT.60_sub	c__Gammaproteobacteria (UID4274)	112	581	290	151	218	128	57	18	9	72.33	67.48	8.38
CONCOCT_CONCOCT.67	c__Gammaproteobacteria (UID4267)	119	544	284	45	485	14	0	0	0	89.94	3.48	0.00
CONCOCT_CONCOCT.83	c__Gammaproteobacteria (UID4202)	67	481	276	14	461	6	0	0	0	96.14	1.86	0.00
GraphMB_1025	c__Gammaproteobacteria (UID4274)	112	581	290	504	76	1	0	0	0	4.17	0.03	0.00
GraphMB_121	k__Bacteria (UID3187)	2258	188	117	76	106	6	0	0	0	50.68	3.68	0.00
GraphMB_137_sub	o__Actinomycetales (UID1590)	562	286	170	63	156	61	6	0	0	73.25	24.66	50.63
GraphMB_178_sub	k__Bacteria (UID203)	5449	104	58	96	8	0	0	0	0	4.39	0.00	0.00
GraphMB_224_sub	c__Deltaproteobacteria (UID3216)	83	247	155	14	89	60	45	26	13	93.17	137.73	22.38
GraphMB_250	c__Gammaproteobacteria (UID4267)	119	544	284	102	398	31	7	5	1	75.20	12.20	72.83
GraphMB_260_sub	p__Proteobacteria (UID3214)	2231	190	119	58	111	16	5	0	0	67.99	19.33	22.58
GraphMB_272_sub	c__Deltaproteobacteria (UID3217)	62	280	168	93	175	12	0	0	0	64.96	5.39	66.67
GraphMB_289_sub	o__Rhizobiales (UID3447)	356	413	248	246	157	10	0	0	0	36.01	2.19	10.00
GraphMB_290	c__Deltaproteobacteria (UID3216)	83	247	155	83	162	2	0	0	0	61.16	1.29	100.00
GraphMB_310_sub	c__Gammaproteobacteria (UID4444)	263	503	230	159	213	108	23	0	0	71.02	35.63	40.68
GraphMB_322_sub	c__Gammaproteobacteria (UID4267)	119	544	284	140	257	139	6	2	0	72.25	31.61	71.60
GraphMB_333_sub	c__Deltaproteobacteria (UID3216)	83	247	155	64	174	9	0	0	0	68.49	2.90	22.22
GraphMB_351_sub	c__Deltaproteobacteria (UID3216)	83	247	155	162	79	5	1	0	0	27.49	3.91	50.00
GraphMB_398_sub	k__Bacteria (UID1452)	924	163	110	93	67	3	0	0	0	31.21	2.73	66.67
GraphMB_449_sub	p__Actinobacteria (UID1454)	732	199	116	77	113	9	0	0	0	57.89	6.47	77.78
GraphMB_46_sub	c__Deltaproteobacteria (UID3216)	83	247	155	100	124	19	4	0	0	50.92	13.87	35.48
GraphMB_70	p__Cyanobacteria (UID2143)	129	472	368	156	300	16	0	0	0	63.72	2.88	31.25
GraphMB_804	c__Gammaproteobacteria (UID4267)	119	544	284	24	511	7	1	1	0	94.57	3.06	6.25
MaxBin2_bins.006	p__Proteobacteria (UID3880)	1495	261	164	96	124	36	5	0	0	54.12	18.70	29.41
MaxBin2_bins.029_sub	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	6.19	0.00	0.00
MaxBin2_bins.069_sub	c__Deltaproteobacteria (UID3216)	83	247	155	128	104	13	2	0	0	35.00	3.80	0.00
MaxBin2_bins.103_sub	c__Deltaproteobacteria (UID3216)	83	247	155	174	64	6	3	0	0	20.60	2.19	0.00
MaxBin2_bins.104	k__Bacteria (UID1453)	901	171	117	39	73	35	16	3	5	71.51	71.60	45.51
MaxBin2_bins.108_sub	c__Deltaproteobacteria (UID3216)	83	247	155	97	123	20	6	1	0	59.14	19.03	18.18
MaxBin2_bins.121	k__Bacteria (UID3187)	2258	190	119	79	86	22	2	1	0	51.30	11.45	17.65
MetaBAT2_bins.106	c__Deltaproteobacteria (UID3216)	83	247	155	9	228	10	0	0	0	95.16	6.45	100.00
MetaBAT2_bins.108	c__Gammaproteobacteria (UID4267)	119	544	284	14	500	28	2	0	0	97.23	8.29	11.76
MetaBAT2_bins.109_sub	c__Gammaproteobacteria (UID4267)	119	544	284	208	333	3	0	0	0	56.11	0.62	33.33
MetaBAT2_bins.10_sub	c__Gammaproteobacteria (UID4274)	112	581	290	186	266	98	20	9	2	72.89	35.93	8.62
MetaBAT2_bins.118	o__Actinomycetales (UID1815)	120	572	265	116	422	34	0	0	0	76.15	6.13	47.06
MetaBAT2_bins.124_sub	p__Proteobacteria (UID3880)	1495	261	164	62	132	63	4	0	0	76.07	33.88	42.67
MetaBAT2_bins.14	c__Deltaproteobacteria (UID3216)	83	247	155	13	231	3	0	0	0	93.96	1.94	100.00
MetaBAT2_bins.142	c__Gammaproteobacteria (UID4444)	263	503	230	209	284	10	0	0	0	58.00	2.71	0.00
MetaBAT2_bins.152_sub	c__Gammaproteobacteria (UID4267)	119	544	284	251	267	25	1	0	0	47.18	4.52	21.43
MetaBAT2_bins.154	c__Deltaproteobacteria (UID3216)	83	247	155	17	210	20	0	0	0	89.68	10.00	10.00
MetaBAT2_bins.159	s__algicola (UID2846)	47	571	303	133	428	9	1	0	0	73.06	1.96	25.00
MetaBAT2_bins.161	k__Bacteria (UID1452)	924	163	110	64	94	5	0	0	0	53.85	3.01	0.00
MetaBAT2_bins.17_sub	c__Gammaproteobacteria (UID4274)	112	581	290	152	426	3	0	0	0	68.64	0.73	0.00
MetaBAT2_bins.33	c__Deltaproteobacteria (UID3216)	83	247	155	26	214	6	1	0	0	88.58	4.19	11.11
MetaBAT2_bins.35	f__Rhodobacteraceae (UID3340)	84	568	330	214	332	21	1	0	0	58.00	4.80	4.17
