Others	Terpene	RiPPs	PKS-NRP_Hybrids	PKSother	PKSI	NRPS	genome
1	0	0	0	0	0	0	CONCOCT_CONCOCT.17
2	2	2	0	0	0	0	CONCOCT_CONCOCT.39
0	0	3	1	0	0	0	CONCOCT_CONCOCT.52
1	0	1	0	0	0	0	CONCOCT_CONCOCT.55
0	1	1	0	1	0	0	CONCOCT_CONCOCT.8
7	0	2	0	1	2	0	CONCOCT_CONCOCT.80_sub
1	1	1	1	0	1	1	GraphMB_1677
1	0	2	0	0	0	0	GraphMB_2352
0	2	4	0	1	0	2	GraphMB_2773_sub
4	0	10	0	1	0	2	GraphMB_2779_sub
2	0	2	0	1	0	1	GraphMB_2782
0	1	0	0	0	0	0	GraphMB_2819
0	0	0	0	0	0	1	GraphMB_2861
1	0	0	0	1	0	0	GraphMB_2944
1	0	0	0	0	0	0	GraphMB_3140_sub
1	0	0	0	0	0	0	GraphMB_3344
0	1	3	0	0	0	0	GraphMB_3433_sub
0	0	1	0	0	0	1	GraphMB_3589
1	0	3	0	0	0	0	GraphMB_3842
1	1	2	0	0	0	1	GraphMB_3899
2	0	0	0	0	0	0	GraphMB_4171_sub
1	0	2	0	0	0	0	GraphMB_4467
1	1	0	0	0	0	0	GraphMB_835
3	0	0	0	0	0	0	MaxBin2_bins.013_sub
0	0	0	0	0	0	1	MaxBin2_bins.021_sub
0	0	2	0	0	0	1	MaxBin2_bins.081_sub
0	0	4	0	2	2	2	MaxBin2_bins.093_sub
0	1	0	0	0	0	0	MaxBin2_bins.109_sub
2	1	0	0	0	0	0	MetaBAT2_bins.10
1	1	1	0	0	0	0	MetaBAT2_bins.100
1	4	1	0	0	0	0	MetaBAT2_bins.101
4	0	5	0	4	0	1	MetaBAT2_bins.110
0	0	1	0	0	0	2	MetaBAT2_bins.113
1	3	2	0	0	0	1	MetaBAT2_bins.118_sub
0	3	3	0	0	0	0	MetaBAT2_bins.121_sub
1	1	1	0	1	0	2	MetaBAT2_bins.122_sub
1	0	1	0	3	0	0	MetaBAT2_bins.125
1	0	2	0	0	0	0	MetaBAT2_bins.126
1	0	2	0	1	0	0	MetaBAT2_bins.128
0	0	4	0	0	0	0	MetaBAT2_bins.136
1	0	2	0	0	3	0	MetaBAT2_bins.144
0	0	4	0	1	0	0	MetaBAT2_bins.145
1	0	1	0	0	0	0	MetaBAT2_bins.149_sub
0	1	0	0	1	1	0	MetaBAT2_bins.14_sub
0	3	0	0	1	0	0	MetaBAT2_bins.153
1	0	0	0	0	0	1	MetaBAT2_bins.172
3	3	1	0	0	0	1	MetaBAT2_bins.179_sub
0	1	0	0	0	0	0	MetaBAT2_bins.180
0	0	4	0	1	0	0	MetaBAT2_bins.185_sub
0	2	4	0	0	0	0	MetaBAT2_bins.187
1	1	0	0	0	0	0	MetaBAT2_bins.193
3	0	2	0	0	0	0	MetaBAT2_bins.197
0	0	0	0	1	0	0	MetaBAT2_bins.2
2	1	0	0	0	0	0	MetaBAT2_bins.207
0	0	1	0	0	0	0	MetaBAT2_bins.215_sub
2	0	2	0	0	0	0	MetaBAT2_bins.217
1	0	1	0	0	0	0	MetaBAT2_bins.22
1	0	4	0	1	1	0	MetaBAT2_bins.224
1	0	3	0	1	1	0	MetaBAT2_bins.34
0	0	3	0	2	0	0	MetaBAT2_bins.39
1	1	0	0	0	0	0	MetaBAT2_bins.45_sub
1	1	6	0	0	0	0	MetaBAT2_bins.4_sub
0	2	2	0	0	0	0	MetaBAT2_bins.72_sub
0	0	0	0	1	0	0	MetaBAT2_bins.74
1	0	0	0	0	0	0	MetaBAT2_bins.78_sub
2	0	3	0	0	0	0	MetaBAT2_bins.86_sub
0	0	1	0	0	0	1	MetaBAT2_bins.89
0	1	5	0	0	0	1	MetaBAT2_bins.90
