Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
10	k__Bacteria (UID1453)	901	171	117	25	119	22	4	1	0	79.63	25.64	72.50
116	c__Gammaproteobacteria (UID4267)	119	544	284	91	445	6	0	2	0	82.92	3.42	16.67
306_sub	c__Gammaproteobacteria (UID4267)	119	544	284	120	368	51	5	0	0	73.21	13.88	56.06
340	c__Gammaproteobacteria (UID4202)	67	481	276	104	373	4	0	0	0	76.90	0.95	0.00
540	o__Rhizobiales (UID3447)	356	413	248	43	238	106	24	2	0	88.82	40.26	33.16
555	k__Bacteria (UID3187)	2258	188	117	60	116	11	1	0	0	74.85	8.89	0.00
582	c__Gammaproteobacteria (UID4267)	119	544	284	117	278	128	13	8	0	73.84	30.86	51.63
583	c__Alphaproteobacteria (UID3337)	468	388	250	192	175	21	0	0	0	45.49	5.23	9.52
600_sub	p__Proteobacteria (UID3880)	1495	261	164	101	109	47	4	0	0	54.74	23.07	49.15
78	o__Actinomycetales (UID1815)	120	572	265	168	393	11	0	0	0	69.04	2.20	54.55
CONCOCT.2_sub	c__Gammaproteobacteria (UID4274)	112	581	290	335	197	47	2	0	0	40.82	8.62	1.89
bins.001	o__Actinomycetales (UID1663)	488	310	185	12	289	9	0	0	0	95.60	3.42	0.00
bins.013	c__Deltaproteobacteria (UID3216)	83	247	155	191	56	0	0	0	0	7.10	0.00	0.00
bins.052_sub	k__Bacteria (UID1452)	924	161	108	104	57	0	0	0	0	19.16	0.00	0.00
bins.062_sub	c__Deltaproteobacteria (UID3216)	83	247	155	159	81	7	0	0	0	24.06	3.58	14.29
bins.104	c__Gammaproteobacteria (UID4267)	119	544	284	230	275	35	3	1	0	52.27	8.35	8.00
bins.106_sub	o__Actinomycetales (UID1590)	562	286	170	102	147	32	5	0	0	58.12	18.92	31.91
bins.108	s__algicola (UID2846)	47	571	303	147	417	7	0	0	0	72.50	0.99	14.29
bins.109	c__Deltaproteobacteria (UID3216)	83	247	155	34	133	50	26	4	0	82.74	47.25	23.03
bins.122	s__algicola (UID2846)	47	571	303	115	446	10	0	0	0	76.95	1.96	0.00
bins.124	p__Actinobacteria (UID1454)	732	199	116	8	189	2	0	0	0	96.09	1.03	0.00
bins.132	c__Gammaproteobacteria (UID4202)	67	481	276	32	415	34	0	0	0	93.83	7.93	5.88
bins.134_sub	o__Rhizobiales (UID3447)	356	413	248	165	206	31	10	1	0	56.34	11.73	10.45
bins.17	c__Gammaproteobacteria (UID4267)	119	544	284	89	441	13	1	0	0	79.43	3.39	6.25
bins.24	c__Deltaproteobacteria (UID3216)	83	247	155	89	156	2	0	0	0	62.87	1.29	50.00
bins.30	c__Deltaproteobacteria (UID3217)	62	280	168	8	266	4	2	0	0	97.53	4.46	100.00
bins.31	c__Gammaproteobacteria (UID4274)	112	581	290	121	439	19	2	0	0	79.57	3.25	44.00
bins.34	c__Deltaproteobacteria (UID3216)	83	247	155	48	199	0	0	0	0	76.13	0.00	0.00
bins.35	k__Bacteria (UID1453)	901	171	117	68	102	1	0	0	0	51.05	0.85	0.00
bins.47	c__Deltaproteobacteria (UID3216)	83	247	155	22	170	54	0	1	0	89.35	31.94	13.33
bins.58	c__Deltaproteobacteria (UID3216)	83	247	155	88	131	27	1	0	0	51.61	12.62	13.33
bins.59	c__Gammaproteobacteria (UID4267)	119	544	284	110	420	14	0	0	0	75.57	2.54	57.14
bins.61	p__Actinobacteria (UID1454)	732	199	116	64	127	6	2	0	0	57.77	3.02	50.00
bins.71	c__Gammaproteobacteria (UID4267)	119	544	284	165	344	33	1	1	0	69.55	9.24	42.86
bins.75	k__Bacteria (UID3187)	2258	188	117	127	60	1	0	0	0	18.95	0.43	0.00
bins.77	k__Bacteria (UID1453)	901	171	117	35	129	7	0	0	0	74.17	4.70	28.57
bins.80	k__Bacteria (UID203)	5449	102	56	8	75	19	0	0	0	87.50	13.64	26.32
bins.86	c__Gammaproteobacteria (UID4267)	119	544	284	74	462	8	0	0	0	81.83	1.65	12.50
bins.93	c__Deltaproteobacteria (UID3216)	83	247	155	21	208	14	4	0	0	90.98	11.29	61.54
bins.97	o__Actinomycetales (UID1590)	562	286	170	78	208	0	0	0	0	69.59	0.00	0.00
