Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
10138	o__Rhizobiales (UID3447)	356	413	248	364	49	0	0	0	0	1.95	0.00	0.00
1078	o__Actinomycetales (UID1590)	562	286	170	65	215	4	2	0	0	75.05	2.94	20.00
118_sub	k__Bacteria (UID1453)	901	171	117	101	57	8	5	0	0	36.67	13.25	52.17
3573	c__Deltaproteobacteria (UID3216)	83	247	155	200	47	0	0	0	0	3.79	0.00	0.00
661_sub	k__Bacteria (UID203)	5449	104	58	33	54	17	0	0	0	52.59	10.03	41.18
663	k__Bacteria (UID1452)	924	161	108	29	82	42	7	1	0	77.08	46.45	33.33
664_sub	k__Bacteria (UID1452)	924	163	110	96	65	2	0	0	0	33.03	0.91	50.00
683_sub	c__Gammaproteobacteria (UID4267)	119	544	284	155	350	39	0	0	0	67.70	7.98	48.72
708_sub	c__Gammaproteobacteria (UID4267)	119	544	284	154	383	7	0	0	0	67.65	1.82	0.00
850	c__Deltaproteobacteria (UID3216)	83	247	155	105	142	0	0	0	0	45.68	0.00	0.00
904_sub	o__Cytophagales (UID2936)	47	454	336	276	166	10	2	0	0	34.66	2.74	31.25
966_sub	c__Deltaproteobacteria (UID3216)	83	247	155	65	144	32	6	0	0	66.45	17.10	22.00
CONCOCT.11_sub	k__Bacteria (UID203)	5449	104	58	14	73	15	1	1	0	85.58	18.34	37.50
CONCOCT.32	c__Gammaproteobacteria (UID4274)	112	581	290	95	445	39	2	0	0	83.56	7.03	6.67
CONCOCT.48	c__Gammaproteobacteria (UID4274)	112	581	290	42	227	186	90	30	6	90.63	92.98	35.67
CONCOCT.52_sub	c__Gammaproteobacteria (UID4267)	119	544	284	323	178	38	5	0	0	37.05	8.95	1.89
CONCOCT.61	o__Actinomycetales (UID1663)	488	310	185	4	302	4	0	0	0	98.57	2.16	0.00
bins.014_sub	c__Deltaproteobacteria (UID3216)	83	247	155	182	64	1	0	0	0	16.82	0.22	0.00
bins.044_sub	p__Proteobacteria (UID3880)	1495	261	164	93	127	32	5	4	0	55.18	19.88	23.94
bins.053_sub	p__Proteobacteria (UID3880)	1495	261	164	156	82	17	5	1	0	27.13	9.64	0.00
bins.062_sub	k__Bacteria (UID1452)	924	163	110	60	71	19	11	2	0	54.74	32.23	1.56
bins.077_sub	c__Deltaproteobacteria (UID3216)	83	247	155	140	97	9	1	0	0	28.20	6.29	0.00
bins.091_sub	c__Deltaproteobacteria (UID3216)	83	247	155	154	90	3	0	0	0	30.16	1.94	0.00
bins.100	s__algicola (UID2846)	47	571	303	135	396	39	1	0	0	72.78	8.00	35.71
bins.102_sub	k__Bacteria (UID203)	5449	104	58	11	49	34	7	2	1	86.21	71.66	37.66
bins.104	c__Gammaproteobacteria (UID4267)	119	544	284	62	456	26	0	0	0	85.42	4.36	0.00
bins.118	c__Deltaproteobacteria (UID3216)	83	247	155	157	90	0	0	0	0	31.87	0.00	0.00
bins.123_sub	c__Deltaproteobacteria (UID3216)	83	247	155	120	125	2	0	0	0	48.49	0.97	0.00
bins.132	p__Actinobacteria (UID1454)	732	199	116	16	177	6	0	0	0	93.10	4.31	0.00
bins.149	c__Deltaproteobacteria (UID3216)	83	247	155	23	220	0	4	0	0	90.00	3.87	100.00
bins.152	c__Deltaproteobacteria (UID3216)	83	247	155	167	79	1	0	0	0	16.77	0.65	0.00
bins.157	c__Deltaproteobacteria (UID3216)	83	247	155	85	126	36	0	0	0	59.39	13.88	16.67
bins.16	c__Gammaproteobacteria (UID4202)	67	481	276	39	430	12	0	0	0	89.30	1.85	0.00
bins.23	c__Gammaproteobacteria (UID4274)	112	581	290	46	520	12	3	0	0	91.90	4.15	38.10
bins.33_sub	c__Gammaproteobacteria (UID4444)	263	503	230	197	295	11	0	0	0	57.93	1.35	45.45
bins.36	k__Bacteria (UID3187)	2258	188	117	25	162	1	0	0	0	85.19	0.85	0.00
bins.40	c__Deltaproteobacteria (UID3217)	62	280	168	11	261	8	0	0	0	95.75	3.27	0.00
bins.43	c__Deltaproteobacteria (UID3216)	83	247	155	14	228	5	0	0	0	92.76	2.90	40.00
bins.49	c__Deltaproteobacteria (UID3216)	83	247	155	26	200	21	0	0	0	87.74	11.29	57.14
bins.5	s__algicola (UID2846)	47	571	303	194	364	12	1	0	0	63.39	2.37	33.33
bins.54	c__Gammaproteobacteria (UID4267)	119	544	284	106	403	29	6	0	0	77.04	5.64	27.66
bins.61	c__Gammaproteobacteria (UID4267)	119	544	284	91	421	31	0	1	0	83.01	6.54	2.70
bins.9	c__Gammaproteobacteria (UID4202)	67	481	276	104	325	50	2	0	0	76.11	14.99	1.79
bins.99_sub	c__Gammaproteobacteria (UID4267)	119	544	284	160	311	67	4	1	1	67.29	16.93	7.00
