RiPPs	PKSother	NRPS	Others	Terpene	PKSI	genome
1	1	0	0	0	0	1492
1	0	0	0	0	0	1510_sub
0	0	1	1	0	0	1565_sub
0	0	0	0	4	0	1736
1	1	0	0	1	0	1912
4	1	1	1	0	0	2169_sub
0	0	0	1	0	0	2379
3	0	0	0	0	0	3945
1	0	0	1	1	0	416
0	0	0	2	1	0	481_sub
2	1	1	1	1	1	483
0	2	0	0	1	0	690
0	0	0	0	2	0	CONCOCT.14_sub
1	0	0	2	0	0	CONCOCT.16_sub
0	0	1	2	0	0	CONCOCT.6
1	1	0	1	1	0	CONCOCT.8
2	1	2	5	0	0	bins.029_sub
2	0	0	0	0	0	bins.049_sub
3	2	1	2	1	0	bins.059_sub
3	0	0	1	0	3	bins.10
0	0	0	2	0	0	bins.101
1	0	0	1	0	0	bins.107
2	0	1	2	3	0	bins.110
2	0	1	1	0	0	bins.117
1	0	1	2	0	0	bins.128_sub
5	2	0	0	0	0	bins.13
2	1	0	1	0	2	bins.132
1	1	0	2	0	1	bins.133_sub
3	0	1	2	0	0	bins.1_sub
0	0	0	2	1	0	bins.30_sub
2	0	0	1	0	0	bins.31
3	1	1	4	0	0	bins.39_sub
1	1	0	0	0	0	bins.41
1	0	1	0	0	0	bins.51
1	0	1	0	0	1	bins.59
0	0	0	2	0	0	bins.63
1	0	1	0	0	0	bins.66
0	1	0	0	0	0	bins.76_sub
4	0	0	1	2	0	bins.81
0	0	1	1	0	0	bins.83
0	1	0	0	1	0	bins.94
