Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
CONCOCT_CONCOCT.11	c__Deltaproteobacteria (UID3216)	83	247	155	47	163	29	7	1	0	77.42	21.33	35.71
CONCOCT_CONCOCT.23_sub	c__Deltaproteobacteria (UID3216)	83	247	155	8	215	24	0	0	0	96.58	14.09	45.83
CONCOCT_CONCOCT.30_sub	f__Rhodobacteraceae (UID3360)	56	582	313	409	161	12	0	0	0	24.59	1.78	0.00
CONCOCT_CONCOCT.32	p__Actinobacteria (UID1454)	732	199	116	7	179	13	0	0	0	94.83	6.03	30.77
CONCOCT_CONCOCT.39_sub	c__Gammaproteobacteria (UID4274)	112	581	290	484	92	5	0	0	0	10.93	1.38	0.00
CONCOCT_CONCOCT.53	c__Gammaproteobacteria (UID4202)	67	481	276	17	456	8	0	0	0	95.32	2.58	0.00
CONCOCT_CONCOCT.65	c__Gammaproteobacteria (UID4274)	112	581	290	46	507	28	0	0	0	90.41	5.15	28.57
CONCOCT_CONCOCT.74	o__Actinomycetales (UID1663)	488	310	185	5	301	4	0	0	0	98.03	2.16	25.00
GraphMB_110	c__Alphaproteobacteria (UID3337)	468	388	250	114	211	49	14	0	0	68.98	22.27	19.78
GraphMB_112_sub	c__Deltaproteobacteria (UID3216)	83	247	155	58	143	42	3	1	0	72.18	25.11	36.84
GraphMB_114_sub	o__Rhizobiales (UID3447)	356	413	248	116	255	40	2	0	0	69.18	13.08	6.52
GraphMB_127_sub	c__Deltaproteobacteria (UID3216)	83	247	155	103	130	8	6	0	0	57.64	11.29	19.23
GraphMB_148_sub	p__Actinobacteria (UID1454)	732	199	116	76	112	10	1	0	0	60.47	9.05	53.85
GraphMB_153_sub	c__Deltaproteobacteria (UID3216)	83	247	155	34	116	41	39	14	3	82.43	90.11	25.74
GraphMB_16	k__Bacteria (UID3060)	138	335	244	192	113	24	6	0	0	34.22	10.74	54.76
GraphMB_160	c__Deltaproteobacteria (UID3216)	83	247	155	38	154	54	1	0	0	83.10	29.16	17.54
GraphMB_167_sub	c__Gammaproteobacteria (UID4267)	119	544	284	316	214	14	0	0	0	35.17	2.05	28.57
GraphMB_169_sub	c__Gammaproteobacteria (UID4444)	263	503	230	219	203	68	13	0	0	58.29	25.20	49.53
GraphMB_186	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
GraphMB_25	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
GraphMB_264	c__Gammaproteobacteria (UID4202)	67	481	276	239	233	9	0	0	0	48.79	2.90	33.33
GraphMB_27	c__Deltaproteobacteria (UID3216)	83	247	155	76	162	8	1	0	0	62.14	4.12	27.27
GraphMB_306_sub	c__Deltaproteobacteria (UID3216)	83	247	155	146	88	12	1	0	0	35.32	9.03	53.33
GraphMB_344	c__Gammaproteobacteria (UID4274)	112	581	290	320	258	3	0	0	0	44.91	1.03	66.67
GraphMB_3637_sub	c__Gammaproteobacteria (UID4274)	112	581	290	536	45	0	0	0	0	0.93	0.00	0.00
GraphMB_3_sub	k__Bacteria (UID203)	5449	104	58	6	55	23	14	6	0	94.36	83.78	81.19
GraphMB_439	c__Gammaproteobacteria (UID4267)	119	544	284	24	501	17	1	1	0	94.57	5.16	3.85
GraphMB_497_sub	p__Proteobacteria (UID3880)	1495	261	164	88	123	25	25	0	0	60.98	29.20	13.00
GraphMB_50_sub	c__Gammaproteobacteria (UID4267)	119	544	284	122	216	146	51	8	1	74.14	53.76	46.22
GraphMB_820	c__Gammaproteobacteria (UID4274)	112	581	290	523	58	0	0	0	0	1.55	0.00	0.00
GraphMB_879	c__Gammaproteobacteria (UID4274)	112	581	290	535	46	0	0	0	0	2.09	0.00	0.00
MaxBin2_bins.009_sub	k__Bacteria (UID1453)	901	171	117	125	46	0	0	0	0	12.19	0.00	0.00
MaxBin2_bins.015_sub	p__Proteobacteria (UID3880)	1495	261	164	148	109	4	0	0	0	32.14	2.03	25.00
MaxBin2_bins.022	k__Bacteria (UID1452)	924	151	101	93	58	0	0	0	0	19.88	0.00	0.00
MaxBin2_bins.031_sub	c__Gammaproteobacteria (UID4267)	119	544	284	306	201	37	0	0	0	38.36	6.47	16.22
MaxBin2_bins.036_sub	k__Bacteria (UID1452)	924	163	110	104	58	1	0	0	0	25.58	0.45	0.00
MaxBin2_bins.060_sub	c__Deltaproteobacteria (UID3216)	83	247	155	163	79	5	0	0	0	18.45	1.03	40.00
MaxBin2_bins.088_sub	c__Deltaproteobacteria (UID3216)	83	247	155	175	71	1	0	0	0	17.18	0.65	0.00
MaxBin2_bins.092_sub	c__Gammaproteobacteria (UID4444)	263	506	232	109	197	110	52	29	9	77.04	75.18	11.03
MaxBin2_bins.093_sub	o__Actinomycetales (UID1590)	562	286	170	192	92	2	0	0	0	22.63	0.88	0.00
MaxBin2_bins.094_sub	c__Deltaproteobacteria (UID3216)	83	247	155	110	107	21	8	1	0	51.39	15.04	0.00
MaxBin2_bins.116_sub	c__Gammaproteobacteria (UID4444)	263	503	230	263	200	31	8	1	0	41.52	12.26	1.64
MetaBAT2_bins.103_sub	f__Rhodobacteraceae (UID3340)	84	568	330	244	308	16	0	0	0	53.99	4.07	6.25
MetaBAT2_bins.114	c__Deltaproteobacteria (UID3216)	83	247	155	35	204	7	1	0	0	85.14	4.52	10.00
MetaBAT2_bins.115	s__algicola (UID2846)	47	571	303	127	433	10	1	0	0	74.01	2.29	23.08
MetaBAT2_bins.117_sub	k__Bacteria (UID1452)	924	163	110	73	86	4	0	0	0	48.39	2.10	0.00
