Others	RiPPs	Terpene	NRPS	PKSother	PKS-NRP_Hybrids	PKSI	genome
1	0	0	0	0	0	0	CONCOCT_CONCOCT.1
0	3	1	1	0	0	0	CONCOCT_CONCOCT.12_sub
4	2	1	0	0	0	0	CONCOCT_CONCOCT.58_sub
0	0	1	1	0	0	0	CONCOCT_CONCOCT.77_sub
0	1	1	0	1	0	0	CONCOCT_CONCOCT.83
1	0	0	0	0	0	0	GraphMB_125_sub
1	1	0	1	0	0	0	GraphMB_161_sub
0	1	2	0	0	0	0	GraphMB_169_sub
1	2	0	0	0	0	0	GraphMB_170_sub
1	1	2	0	0	0	0	GraphMB_173
2	3	0	0	0	0	0	GraphMB_24
0	0	1	0	0	0	0	GraphMB_246_sub
0	0	0	0	1	0	0	GraphMB_253
0	1	1	0	0	0	0	GraphMB_299_sub
0	0	1	0	0	0	0	GraphMB_3135
1	7	0	0	0	0	0	GraphMB_388_sub
1	0	0	1	0	0	0	GraphMB_394
2	0	0	0	0	0	0	GraphMB_439
0	0	1	0	0	0	0	GraphMB_65
0	0	0	1	0	0	0	MaxBin2_bins.009_sub
0	1	1	0	0	0	0	MaxBin2_bins.025_sub
1	2	0	0	0	1	0	MaxBin2_bins.030_sub
0	1	1	1	0	0	0	MaxBin2_bins.031_sub
0	0	1	0	0	0	0	MaxBin2_bins.064_sub
0	2	0	1	1	0	0	MaxBin2_bins.075_sub
0	1	0	0	0	0	0	MaxBin2_bins.085_sub
1	1	1	0	0	0	0	MaxBin2_bins.106_sub
0	1	0	0	1	0	0	MaxBin2_bins.110_sub
1	2	3	1	0	0	0	MaxBin2_bins.120_sub
0	1	2	0	2	0	0	MetaBAT2_bins.1
2	0	3	0	0	0	0	MetaBAT2_bins.102_sub
0	2	0	2	0	0	0	MetaBAT2_bins.103
1	1	1	0	0	0	0	MetaBAT2_bins.105
1	6	0	2	0	0	0	MetaBAT2_bins.106_sub
0	1	1	0	0	0	1	MetaBAT2_bins.111
3	1	0	1	0	0	0	MetaBAT2_bins.122_sub
2	2	0	0	0	0	3	MetaBAT2_bins.123
2	1	1	0	0	0	0	MetaBAT2_bins.126
4	7	0	1	1	0	1	MetaBAT2_bins.145
1	2	1	1	0	0	0	MetaBAT2_bins.153_sub
0	0	0	1	1	0	0	MetaBAT2_bins.156
0	1	0	0	1	0	1	MetaBAT2_bins.158
0	1	2	1	2	0	2	MetaBAT2_bins.164
0	1	0	0	1	0	0	MetaBAT2_bins.166
0	1	0	0	1	0	0	MetaBAT2_bins.188_sub
0	1	1	0	2	0	0	MetaBAT2_bins.19
0	4	0	1	1	0	1	MetaBAT2_bins.192
1	0	1	0	0	0	0	MetaBAT2_bins.20
1	0	0	0	0	0	0	MetaBAT2_bins.201_sub
3	4	0	0	5	0	0	MetaBAT2_bins.202_sub
0	1	0	1	0	0	0	MetaBAT2_bins.215
3	5	0	0	4	0	0	MetaBAT2_bins.216
0	3	3	0	0	0	0	MetaBAT2_bins.218
2	2	2	0	0	0	0	MetaBAT2_bins.232
1	1	0	1	0	0	0	MetaBAT2_bins.234
0	0	2	1	1	0	0	MetaBAT2_bins.244
1	2	0	0	0	0	0	MetaBAT2_bins.249
0	0	0	1	0	0	0	MetaBAT2_bins.252_sub
2	3	2	0	0	0	0	MetaBAT2_bins.263
1	1	0	0	0	0	0	MetaBAT2_bins.264
1	1	1	1	1	0	1	MetaBAT2_bins.266
1	1	0	1	0	0	0	MetaBAT2_bins.29
1	1	4	0	0	0	0	MetaBAT2_bins.3
0	2	0	0	2	0	0	MetaBAT2_bins.33
0	5	0	0	2	0	0	MetaBAT2_bins.34
1	1	1	0	1	0	0	MetaBAT2_bins.41
0	1	0	0	1	0	0	MetaBAT2_bins.45_sub
3	1	0	0	0	0	0	MetaBAT2_bins.5
0	1	1	0	0	0	0	MetaBAT2_bins.57
0	0	2	0	1	0	0	MetaBAT2_bins.60
1	0	1	0	0	0	0	MetaBAT2_bins.63
1	2	0	0	2	0	0	MetaBAT2_bins.64
3	2	1	0	0	0	0	MetaBAT2_bins.68
2	1	0	0	1	0	0	MetaBAT2_bins.70
3	5	0	1	2	0	0	MetaBAT2_bins.73
2	1	0	0	0	0	0	MetaBAT2_bins.83_sub
1	3	0	0	0	0	0	MetaBAT2_bins.85_sub
0	2	0	1	0	0	0	MetaBAT2_bins.92_sub
0	2	0	0	0	0	0	MetaBAT2_bins.96
