contigName	contigLen	totalAvgDepth	mapped_sorted.bam	mapped_sorted.bam-var
contig_1	1.51229e+06	10.1319	10.1319	14.6314
contig_100	12301	5.67468	5.67468	11.8275
contig_1000	18535	1.50606	1.50606	13.6895
contig_10002	37620	2.17219	2.17219	3.64881
contig_10004	13203	0.492914	0.492914	0.53657
contig_10005	9515	0.333049	0.333049	0.360317
contig_10007	15034	1.29501	1.29501	1.24828
contig_10008	15861	0.880211	0.880211	0.817796
contig_10009	10467	6.55084	6.55084	7.03112
contig_1001	7995	1.48553	1.48553	1.06066
contig_10010	6456	0.415002	0.415002	0.440092
contig_10011	8385	0.484517	0.484517	0.686782
contig_10012	7208	0.627373	0.627373	0.654382
contig_10013	11264	1.79908	1.79908	1.37659
contig_10014	301006	4.61618	4.61618	5.94308
contig_10015	83776	0.546254	0.546254	1.01742
contig_10016	16850	0.698024	0.698024	0.678482
contig_10017	5488	0.828025	0.828025	0.737143
contig_10018	19825	1.99873	1.99873	0.788793
contig_10019	17799	0.699076	0.699076	0.909917
contig_10020	19401	0.466469	0.466469	0.692638
contig_10022	33358	1.98856	1.98856	4.07953
contig_10023	13912	1.69321	1.69321	2.22605
contig_10024	11423	2.23587	2.23587	1.09743
contig_10027	7816	0.541743	0.541743	0.489618
contig_10028	5930	2.38685	2.38685	1.12525
contig_1003	43338	1.67382	1.67382	2.67533
contig_10030	13410	2.83688	2.83688	2.21721
contig_10031	24373	2.4466	2.4466	3.2431
contig_10035	19690	0.643449	0.643449	0.715928
contig_10036	11535	1.20685	1.20685	1.5781
contig_10037	16467	2.11853	2.11853	1.03433
contig_10038	64125	1.41696	1.41696	2.25517
contig_10039	7134	0.240836	0.240836	0.19545
contig_1004	6319	0.326309	0.326309	1.04702
contig_10040	5654	0.533975	0.533975	0.305597
contig_10041	12954	0.729147	0.729147	0.584778
contig_10042	9978	2.35206	2.35206	0.892499
contig_10043	7386	1.53496	1.53496	0.927994
contig_10044	8487	0.440086	0.440086	0.246442
contig_10045	16831	2.18302	2.18302	1.31073
contig_10046	14802	1.05849	1.05849	1.05075
contig_10047	14667	0.429083	0.429083	0.497826
contig_10048	61936	1.76993	1.76993	1.60699
contig_10049	16697	0.714208	0.714208	0.448301
contig_10051	6347	0.872196	0.872196	0.580515
contig_10052	13322	0.975099	0.975099	0.623889
contig_10053	9126	1.82498	1.82498	1.33774
contig_10054	6661	0.672401	0.672401	0.22031
contig_10055	13142	0.780557	0.780557	0.880089
contig_10056	7898	1.52969	1.52969	1.12097
contig_10057	6716	1.83064	1.83064	0.680823
