contigName	contigLen	totalAvgDepth	mapped_sorted.bam	mapped_sorted.bam-var
contig_1	7010	1.93236	1.93236	0.750577
contig_100	20561	1.37264	1.37264	1.74367
contig_101	6144	0.831832	0.831832	0.63047
contig_102	12453	1.20393	1.20393	0.819127
contig_104	21635	0.79879	0.79879	0.978674
contig_105	14729	1.44934	1.44934	1.31356
contig_106	87061	0.916248	0.916248	1.27215
contig_108	29150	1.64576	1.64576	2.56295
contig_110	65567	1.0539	1.0539	1.62646
contig_111	8722	0.0718619	0.0718619	0.0667074
contig_112	23584	1.82713	1.82713	1.81474
contig_113	51439	1.6184	1.6184	1.73638
contig_114	8748	1.383	1.383	0.980535
contig_115	16496	0.822281	0.822281	1.09464
contig_117	12567	2.05396	2.05396	2.35774
contig_118	51252	1.99137	1.99137	3.64851
contig_119	13512	1.75348	1.75348	1.69248
contig_120	15257	2.29986	2.29986	2.36127
contig_121	35864	1.33298	1.33298	1.30311
contig_122	27392	0.962448	0.962448	1.48376
contig_123	7654	0.949227	0.949227	0.838506
contig_124	18769	0.505022	0.505022	0.741796
contig_125	20732	1.50636	1.50636	2.75921
contig_126	75411	2.20408	2.20408	3.16602
contig_127	12982	1.49416	1.49416	1.57222
contig_128	12923	0.624129	0.624129	0.312017
contig_129	12858	0	0	0
contig_13	110593	756.966	756.966	1.50724e+07
contig_130	19781	1.31909	1.31909	2.94643
contig_131	19616	1.86222	1.86222	1.91255
contig_132	24350	1.23273	1.23273	1.19174
contig_133	12009	1.18147	1.18147	0.687021
contig_134	12097	1.05709	1.05709	1.3156
contig_135	10208	1.22649	1.22649	0.966284
contig_136	43853	1.31918	1.31918	2.08873
contig_137	5433	0.303615	0.303615	0.21147
contig_138	10764	0.786979	0.786979	0.381756
contig_139	13154	2.42049	2.42049	1.28359
contig_14	98517	1.61439	1.61439	2.14406
contig_140	32545	1.41645	1.41645	1.08018
contig_141	10256	1.15763	1.15763	0.478365
contig_142	10650	0.889333	0.889333	0.340355
contig_143	32583	1.10613	1.10613	1.45994
contig_144	8025	1.78819	1.78819	1.85981
contig_145	6698	1.15929	1.15929	0.369773
contig_146	8027	1.18573	1.18573	0.6708
contig_147	17708	0.0417474	0.0417474	0.0400138
contig_148	7113	1.42611	1.42611	0.625216
contig_149	47887	0.120158	0.120158	0.171678
contig_15	73597	1.77194	1.77194	3.19924
contig_150	21250	0.733318	0.733318	0.800299
contig_151	15770	0	0	0
contig_152	15250	0.619934	0.619934	1.31065
contig_153	57855	1.73458	1.73458	2.53773
contig_154	8287	0.353324	0.353324	0.264421
contig_156	16423	1.77564	1.77564	1.68362
contig_158	11293	2.0577	2.0577	2.0626
contig_16	32836	1.84617	1.84617	5.35362
contig_160	8498	1.60601	1.60601	1.29518
contig_161	16554	1.51347	1.51347	2.58435
contig_162	10331	0.776446	0.776446	1.17243
contig_163	15636	0.562896	0.562896	0.5987
contig_164	25983	1.65831	1.65831	1.89608
contig_165	78311	1.35803	1.35803	1.95023
contig_166	23659	0.536007	0.536007	0.505439
contig_167	19445	1.18264	1.18264	1.23956
contig_168	6389	2.10002	2.10002	0.884191
contig_169	14411	0.177126	0.177126	0.23345
contig_17	5749	2.21343	2.21343	0.85995
contig_170	8804	1.54807	1.54807	1.65598
contig_171	15372	1.07798	1.07798	0.578122
contig_172	9145	1.09961	1.09961	1.3996
contig_173	7867	0.834651	0.834651	0.47525
contig_174	5195	0.593459	0.593459	0.582309
contig_175	10043	1.48297	1.48297	1.155
contig_176	15674	1.83471	1.83471	0.667895
contig_177	30741	0.938021	0.938021	1.22694
contig_178	8825	0.525303	0.525303	0.443994
contig_179	11667	1.00165	1.00165	0.839539
contig_18	5929	5.16145	5.16145	1609.62
contig_180	9587	0.78171	0.78171	0.60029
contig_181	14528	1.17075	1.17075	1.41815
contig_183	7200	1.10156	1.10156	0.431996
contig_185	23489	1.51009	1.51009	3.77795
contig_186	10074	1.28809	1.28809	0.481655
contig_187	25856	1.14183	1.14183	1.78932
contig_188	25349	0.50248	0.50248	0.412928
contig_189	12819	1.10324	1.10324	0.562633
contig_190	19806	1.80612	1.80612	1.29411
contig_191	7357	1.03552	1.03552	1.05538
contig_192	13594	2.00989	2.00989	1.60463
contig_194	18398	1.46734	1.46734	1.03365
contig_195	12705	1.81601	1.81601	1.9236
contig_196	25104	1.4148	1.4148	1.51705
contig_197	13411	0.596561	0.596561	0.453824
contig_198	65493	1.38128	1.38128	2.6995
contig_2	20420	1.23128	1.23128	1.11743
contig_20	11267	0.980121	0.980121	1.21518
contig_201	14190	3.19209	3.19209	3.09802
contig_202	6657	1.43584	1.43584	0.689813
contig_203	17413	2.034	2.034	1.67871
contig_204	12107	0.386385	0.386385	0.533407
contig_205	17401	1.69155	1.69155	2.2039
contig_206	9793	0.608835	0.608835	0.374058
contig_207	36896	1.66739	1.66739	2.5619
contig_208	6786	0.935051	0.935051	0.880063
contig_21	69092	1.65574	1.65574	1.74777
contig_210	25324	1.33586	1.33586	2.28039
contig_211	27704	1.70523	1.70523	1.27687
contig_213	25449	1.73849	1.73849	1.70169
contig_214	19388	1.96143	1.96143	1.02452
contig_215	15837	1.11481	1.11481	0.985769
contig_216	19827	0.792245	0.792245	0.849452
contig_217	10963	0.880329	0.880329	0.89343
contig_218	18787	1.53174	1.53174	1.23474
contig_22	11075	1.70435	1.70435	0.659003
contig_221	23442	1.37541	1.37541	1.69379
contig_222	15891	1.98825	1.98825	1.09373
contig_223	7187	0.0696319	0.0696319	0.0647956
contig_224	14307	1.18147	1.18147	1.03566
contig_225	19426	1.11408	1.11408	1.09208
contig_226	5111	1.50897	1.50897	1.60325
contig_227	5306	1.96742	1.96742	0.41486
contig_228	10247	1.81608	1.81608	0.763639
contig_229	18853	1.29166	1.29166	1.05724
contig_23	5411	0.080593	0.080593	0.0741115
contig_230	8022	0.809451	0.809451	0.658395
contig_231	32085	1.90412	1.90412	1.8339
contig_232	12702	1.58206	1.58206	2.76551
contig_233	8659	0.88095	0.88095	0.683145
contig_237	31309	1.30896	1.30896	1.08448
contig_238	23475	2.14131	2.14131	1.88321
contig_239	29617	0.30451	0.30451	0.427597
contig_24	11644	0.170611	0.170611	0.165878
contig_240	7526	2.13476	2.13476	0.541782
contig_241	34399	1.24115	1.24115	1.75997
contig_242	8406	0.91485	0.91485	1.01213
contig_243	29593	1.41307	1.41307	2.8778
contig_244	29016	0.815839	0.815839	1.08686
contig_246	100564	1.82239	1.82239	3.03117
contig_247	8134	0.2376	0.2376	0.30542
contig_248	34146	1.13863	1.13863	1.27333
contig_25	18747	2.13239	2.13239	7.31087
contig_250	31023	1.00253	1.00253	1.44668
contig_251	8634	1.52074	1.52074	1.70942
contig_253	7414	0.990639	0.990639	0.799861
contig_254	10615	1.38414	1.38414	0.892362
contig_255	31331	1.39883	1.39883	1.59579
contig_256	35706	1.69133	1.69133	2.48536
contig_257	8274	2.00012	2.00012	2.0821
contig_258	43989	1.42428	1.42428	1.9982
contig_259	6644	0.804435	0.804435	1.00956
contig_26	15996	0.660735	0.660735	0.646136
contig_260	11783	0.473481	0.473481	0.540411
contig_261	18967	0.477334	0.477334	0.852137
contig_262	55465	1.81128	1.81128	1.55674
contig_263	70056	1.391	1.391	1.95537
contig_265	27728	0.846798	0.846798	0.96079
contig_266	10378	1.50557	1.50557	1.09203
contig_267	47811	1.02994	1.02994	1.13872
contig_268	18207	0.712688	0.712688	0.727978
contig_269	5041	1.51278	1.51278	0.845354
contig_270	17777	0.804731	0.804731	0.660767
contig_271	8307	2.04377	2.04377	1.75493
contig_272	18603	1.73311	1.73311	1.7184
