Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
CONCOCT_CONCOCT.17	c__Gammaproteobacteria (UID4202)	67	481	276	16	450	15	0	0	0	96.05	3.38	0.00
CONCOCT_CONCOCT.39	c__Gammaproteobacteria (UID4274)	112	581	290	55	502	20	2	2	0	89.80	4.60	31.58
CONCOCT_CONCOCT.52	c__Deltaproteobacteria (UID3216)	83	247	155	43	199	5	0	0	0	82.44	3.23	40.00
CONCOCT_CONCOCT.55	c__Gammaproteobacteria (UID4274)	112	581	290	24	551	6	0	0	0	94.73	0.92	0.00
CONCOCT_CONCOCT.8	o__Actinomycetales (UID1663)	488	310	185	6	298	6	0	0	0	97.76	1.85	0.00
CONCOCT_CONCOCT.80_sub	c__Deltaproteobacteria (UID3216)	83	247	155	15	110	72	29	20	1	92.22	88.65	17.65
GraphMB_16526	c__Gammaproteobacteria (UID4274)	112	581	290	531	50	0	0	0	0	1.01	0.00	0.00
GraphMB_1677	o__Actinomycetales (UID1815)	120	572	265	155	406	11	0	0	0	70.94	2.45	18.18
GraphMB_1700	o__Actinomycetales (UID1663)	488	310	185	124	186	0	0	0	0	56.77	0.00	0.00
GraphMB_2352	o__Rhizobiales (UID3447)	356	413	248	78	253	80	1	1	0	78.06	23.49	55.06
GraphMB_2773_sub	k__Bacteria (UID1453)	901	171	117	17	95	26	24	9	0	88.55	66.75	63.82
GraphMB_2779_sub	k__Bacteria (UID203)	5449	102	56	2	53	37	8	2	0	96.43	65.10	43.84
GraphMB_2782	k__Bacteria (UID1453)	901	171	117	60	82	29	0	0	0	62.88	20.09	48.28
GraphMB_2819	c__Deltaproteobacteria (UID3216)	83	247	155	116	111	20	0	0	0	44.17	9.06	35.00
GraphMB_2861	k__Bacteria (UID1452)	924	161	108	29	110	21	1	0	0	79.73	17.44	50.00
GraphMB_2867	p__Proteobacteria (UID3880)	1495	261	164	179	76	6	0	0	0	18.67	3.66	33.33
GraphMB_2944	c__Deltaproteobacteria (UID3216)	83	247	155	115	132	0	0	0	0	44.84	0.00	0.00
GraphMB_3140_sub	c__Gammaproteobacteria (UID4202)	67	481	276	217	258	6	0	0	0	50.98	1.41	16.67
GraphMB_3344	k__Bacteria (UID3060)	138	338	246	38	195	72	33	0	0	88.28	45.73	50.88
GraphMB_3433_sub	k__Bacteria (UID1453)	901	171	117	53	95	19	4	0	0	71.10	20.94	9.68
GraphMB_3589	c__Gammaproteobacteria (UID4274)	112	581	290	89	342	137	13	0	0	80.79	32.55	63.64
GraphMB_3842	p__Proteobacteria (UID3880)	1495	261	164	13	212	32	2	1	1	92.84	21.07	40.74
GraphMB_3899	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
GraphMB_4171_sub	p__Actinobacteria (UID1454)	732	199	116	5	193	1	0	0	0	96.81	0.86	0.00
GraphMB_4467	p__Proteobacteria (UID3880)	1495	261	164	83	172	6	0	0	0	62.50	2.44	66.67
GraphMB_835	p__Cyanobacteria (UID2143)	129	472	368	135	312	24	1	0	0	68.23	5.07	14.81
GraphMB_9575	c__Deltaproteobacteria (UID3216)	83	247	155	206	41	0	0	0	0	2.38	0.00	0.00
MaxBin2_bins.001_sub	k__Bacteria (UID3187)	2258	188	117	92	85	10	1	0	0	35.21	6.57	0.00
MaxBin2_bins.013_sub	k__Bacteria (UID1452)	924	161	108	67	88	6	0	0	0	48.32	4.63	0.00
