user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CONCOCT_CONCOCT.14_sub	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__GCA-2699445;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__GCA-2699445;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	36.15	11	0.77772	Genome has more than 20.8% of markers with multiple hits
CONCOCT_CONCOCT.27_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	79.96	11	0.84479	N/A
CONCOCT_CONCOCT.37	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E lactucae	GCF_016937615.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E lactucae	96.98	0.873	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CONCOCT_CONCOCT.38	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__JAHEKZ01;f__JAHEKZ01;g__JAHEKZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__JAHEKZ01;f__JAHEKZ01;g__JAHEKZ01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	96.11	11	0.92427	N/A
CONCOCT_CONCOCT.39	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__	N/A	N/A	N/A	N/A	N/A	GCA_903933815.1	95.0	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__67-14 sp903933815	80.01	0.604	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__67-14;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_020438295.1, s__67-14 sp020438295, 95.0, 79.94, 0.538; GCA_001897355.1, s__67-14 sp001897355, 95.0, 79.86, 0.483; GCA_017304845.1, s__67-14 sp017304845, 95.0, 79.8, 0.375; GCA_016650125.1, s__67-14 sp016650125, 95.0, 79.51, 0.47; GCA_019694145.1, s__67-14 sp019694145, 95.0, 79.34, 0.429; GCA_023436605.1, s__67-14 sp023436605, 95.0, 79.23, 0.414; GCA_016649615.1, s__67-14 sp016649615, 95.0, 79.12, 0.533; GCA_020438425.1, s__67-14 sp020438425, 95.0, 79.06, 0.389; GCA_016712175.1, s__67-14 sp016712175, 95.0, 78.99, 0.413; GCA_023958085.1, s__67-14 sp023958085, 95.0, 78.84, 0.367; GCA_023434465.1, s__67-14 sp023434465, 95.0, 78.79, 0.394; GCA_020636955.1, s__67-14 sp020636955, 95.0, 78.72, 0.383; GCA_018883025.1, s__67-14 sp018883025, 95.0, 78.66, 0.492; GCA_020438395.1, s__67-14 sp020438395, 95.0, 78.66, 0.37; GCA_903891285.1, s__67-14 sp903891285, 95.0, 78.59, 0.482; GCA_020438355.1, s__67-14 sp020438355, 95.0, 78.5, 0.359; GCA_903939845.1, s__67-14 sp903939845, 95.0, 78.43, 0.424; GCA_020438345.1, s__67-14 sp020438345, 95.0, 77.73, 0.261	83.4	11	0.93321	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CONCOCT_CONCOCT.43	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__	N/A	N/A	N/A	N/A	N/A	GCA_024642325.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__Eudoraea sp024642325	91.38	0.882	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905479615.1, s__Eudoraea sp905479615, 95.0, 83.49, 0.721; GCF_000382125.1, s__Eudoraea adriatica, 95.0, 80.96, 0.589; GCA_013042925.1, s__Eudoraea sp013042925, 95.0, 80.95, 0.626; GCA_020346245.1, s__Eudoraea sp020346245, 95.0, 80.22, 0.618	66.43	11	0.99149	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 10.0% of markers with multiple hits
CONCOCT_CONCOCT.47	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	44.11	11	0.86767	N/A
CONCOCT_CONCOCT.57	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.43	11	0.88245	N/A
CONCOCT_CONCOCT.5_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__C00003060;g__JAFDGP01;s__	N/A	N/A	N/A	N/A	N/A	GCA_019309245.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__C00003060;g__JAFDGP01;s__JAFDGP01 sp019309245	76.99	0.029	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__C00003060;g__JAFDGP01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	28.12	11	0.89174	Genome has more than 37.5% of markers with multiple hits
CONCOCT_CONCOCT.60_sub	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	30.11	11	0.88178	Genome has more than 25.0% of markers with multiple hits
