contigName	contigLen	totalAvgDepth	mapped_sorted_secondRun.bam	mapped_sorted_secondRun.bam-var
contig_1	11592	2.40447	2.40447	2.48667
contig_10	62121	1.23227	1.23227	1.75562
contig_100	14481	4.84097	4.84097	8.46403
contig_1000	17672	1.10558	1.10558	1.58053
contig_10000	5707	1.60536	1.60536	0.400579
contig_10001	8986	1.56236	1.56236	0.85444
contig_10002	9780	2.07155	2.07155	1.39112
contig_10003	5564	1.81363	1.81363	1.40201
contig_10004	13209	2.53075	2.53075	7.42012
contig_10005	9371	1.67921	1.67921	1.90336
contig_10006	8469	0.120207	0.120207	0.105778
contig_10007	7174	1.15048	1.15048	1.48873
contig_10008	9789	1.61438	1.61438	1.52703
contig_10009	7029	1.76988	1.76988	0.465961
contig_1001	12603	3.06665	3.06665	4.70207
contig_10010	9176	0.56725	0.56725	0.657749
contig_10011	12303	1.47791	1.47791	2.11478
contig_10012	5098	0.488884	0.488884	0.249928
contig_10013	11836	0.362571	0.362571	0.432362
contig_10014	21923	0.951729	0.951729	2.4077
contig_10015	6170	1.7706	1.7706	0.647298
contig_10016	65590	2.6665	2.6665	5.64259
contig_10018	8001	0.925105	0.925105	0.633351
contig_10019	22953	1.31755	1.31755	1.19152
contig_10020	25126	1.33696	1.33696	1.28752
contig_10022	10247	1.26651	1.26651	0.620896
contig_10023	28478	1.62045	1.62045	2.27385
contig_10025	5790	0.726596	0.726596	0.554049
contig_10026	21618	0.930268	0.930268	1.1021
contig_10027	7071	1.98078	1.98078	1.06454
contig_10028	5764	1.37371	1.37371	0.822714
contig_10029	6829	0.149723	0.149723	0.127313
contig_1003	11612	2.95952	2.95952	3.73939
contig_10030	6337	0.241959	0.241959	0.327963
contig_10031	6209	0.315234	0.315234	0.300733
contig_10032	8486	1.33685	1.33685	1.1105
contig_10033	7990	0.800383	0.800383	0.714459
contig_10034	34852	1.82693	1.82693	2.33317
contig_10035	25600	1.40558	1.40558	1.68667
contig_10036	18688	0.473514	0.473514	0.772783
contig_10037	10489	0.983461	0.983461	2.09169
contig_10038	92525	2.12317	2.12317	2.93158
contig_10039	8676	0.00445696	0.00445696	0.00443682
contig_1004	12727	2.54393	2.54393	2.31287
contig_10040	12879	0.779716	0.779716	1.50941
contig_10041	7748	2.59147	2.59147	1.20413
contig_10042	21381	0.752437	0.752437	2.09763
contig_10043	6320	0.766613	0.766613	0.559858
contig_10044	30572	1.60226	1.60226	1.58936
contig_10045	6585	1.46169	1.46169	0.559123
contig_10046	32787	1.89638	1.89638	3.31297
contig_10047	5876	1.5248	1.5248	0.914253
contig_10048	10444	1.44278	1.44278	1.65329
contig_10049	5446	1.61631	1.61631	0.246339
contig_1005	25830	2.49895	2.49895	5.6691
contig_10050	19272	0.595858	0.595858	0.63301
contig_10053	50471	4.75124	4.75124	8.50022
contig_10054	16596	0.145263	0.145263	0.161745
contig_10056	5371	1.59548	1.59548	0.743587
contig_10057	15071	2.96455	2.96455	2.62267
contig_10058	20830	1.76136	1.76136	2.87686
contig_1006	14495	1.05354	1.05354	1.12647
contig_10060	10139	0.929823	0.929823	0.765534
contig_10061	28702	2.32085	2.32085	6.08938
contig_10062	5097	0.932686	0.932686	0.676224
contig_10064	7731	1.69476	1.69476	0.667813
contig_10065	9802	0.549316	0.549316	0.636578
contig_10066	5457	0.281892	0.281892	0.475359
contig_10067	14046	1.55512	1.55512	0.805076
contig_10068	6054	0.869411	0.869411	1.0053
contig_1007	5503	4.29666	4.29666	7.16226
contig_10071	6021	0.0720491	0.0720491	0.0668695
contig_10072	6766	1.68365	1.68365	1.23312
